sku,name_zh,dimensions_kind,dim_unit,cbm_method,fob_cny,fob_thb,landed_thb,retail_thb,retail_usd,retail_sgd,logistics_clamp
AWP001,滴灌系统,lwh,cm,china_lcl_cbm,10500.0,51483.6,84698.33,181254.43,5094.02,6512.98,
AWP002,戏水组合1,lwh,cm,china_lcl_cbm,10200.0,50012.64,83108.66,177852.53,4998.42,6390.74,
AWP003,戏水组合2,lwh,cm,china_lcl_cbm,9200.0,45109.44,77809.77,166512.91,4679.72,5983.27,
AWP004,戏水组合3,lwh,cm,china_lcl_cbm,8100.0,39715.92,71981.0,154039.34,4329.16,5535.06,
AWP005,戏水组合4,lwh,cm,china_lcl_cbm,9800.0,48051.36,80989.1,173316.67,4870.94,6227.75,
AWP006,戏水组合5,lwh,cm,china_lcl_cbm,5400.0,26477.28,52954.56,113322.76,3184.85,4072.0,capped
AWP007,水轮组合6,lwh,cm,china_lcl_cbm,8200.0,40206.24,72510.88,155173.28,4361.03,5575.81,
AWP008,水轮组合7,two-dim,non-lwh (two-dim),china_flat,8000.0,39225.6,41971.39,89818.77,2524.29,3227.44,
AWP009,手摇取水组合,lwh,cm,china_lcl_cbm,6200.0,30399.84,60799.68,130111.32,3656.68,4675.26,capped
AWP010,旋涡水车组合,lwh,mm,china_lcl_cbm,6700.0,32851.44,64562.55,138163.86,3882.99,4964.61,
AWP011,手摇水车取水组合,lwh,cm,china_lcl_cbm,6700.0,32851.44,64562.55,138163.86,3882.99,4964.61,
AWP012,手摇水车碗,lwh,cm,china_lcl_cbm,1800.0,8825.76,19416.67,41551.67,1167.78,1493.07,capped
AWP013,手磨推车,custom,non-lwh (custom),china_flat,6800.0,33341.76,35675.68,76345.96,2145.65,2743.32,
AWP014,取水器,lwh,cm,china_lcl_cbm,3600.0,17651.52,38833.34,83103.35,2335.56,2986.13,capped
AWP015,取水器,lwh,cm,china_lcl_cbm,4200.0,20593.44,41186.88,88139.92,2477.11,3167.11,capped
AWP016,旋涡取水器,lwh,cm,china_lcl_cbm,5800.0,28438.56,56877.12,121717.04,3420.77,4373.63,capped
AWP017,手摇取水,custom,non-lwh (custom),china_flat,560.0,2745.79,2938.0,6287.32,176.7,225.92,
AWP018,圆弧通道喷水,diameter,non-lwh (diameter),china_flat,2000.0,9806.4,10492.85,22454.7,631.07,806.86,
AWP019,自行车喷水,lwh,cm,china_lcl_cbm,6000.0,29419.2,58838.4,125914.18,3538.73,4524.45,capped
AWP020,挖沙机,lwh,cm,china_lcl_cbm,2200.0,10787.04,23731.49,50785.39,1427.29,1824.86,capped
AWP021,压水井,lwh,cm,china_lcl_cbm,1800.0,8825.76,19416.67,41551.67,1167.78,1493.07,capped
AWP022,压水井 （新款）,lwh,cm,china_lcl_cbm,2000.0,9806.4,21574.08,46168.53,1297.53,1658.96,capped
AWP023,助力抽水器,lwh,cm,china_lcl_cbm,2000.0,9806.4,21574.08,46168.53,1297.53,1658.96,capped
AWP024,方向盘抽水器(老款）,lwh,cm,china_lcl_cbm,2000.0,9806.4,21574.08,46168.53,1297.53,1658.96,capped
AWP025,方向盘抽水器,lwh,cm,china_lcl_cbm,2000.0,9806.4,21574.08,46168.53,1297.53,1658.96,capped
AWP026,蘑菇头压水器,lwh,cm,china_lcl_cbm,2500.0,12258.0,26967.6,57710.66,1621.92,2073.7,capped
AWP027,儿童压水枪,lwh,cm,china_lcl_cbm,3000.0,14709.6,32361.12,69252.8,1946.3,2488.45,capped
AWP028,加特林水枪,lwh,mm,china_lcl_cbm,3500.0,17161.2,37754.64,80794.93,2270.68,2903.19,capped
AWP029,水车碗,lwh,cm,china_lcl_cbm,1800.0,8825.76,19416.67,41551.67,1167.78,1493.07,capped
AWP030,旋转小水车 分离,unknown,non-lwh (unknown),china_flat,1800.0,8825.76,9443.56,20209.22,567.97,726.17,
AWP031,水闸,lwh,cm,china_lcl_cbm,1800.0,8825.76,19416.67,41551.67,1167.78,1493.07,capped
AWP032,水闸,lwh,cm,china_lcl_cbm,1800.0,8825.76,19416.67,41551.67,1167.78,1493.07,capped
AWP033,阿基米德取水器,length,non-lwh (length),china_flat,5000.0,24516.0,26232.12,56136.74,1577.68,2017.15,
AWP034,月亮自行车,lwh,cm,china_lcl_cbm,16700.0,81883.44,117551.43,251560.06,7069.91,9039.25,
