handle,item_code,name,page,list_eur,remarks,status
berliner-lu-001-001,LU.001.001,LevelUp.01.1,46,34333.0,,active
berliner-lu-002-002,LU.002.002,LevelUp.02.2,47,45218.0,,active
berliner-lu-003-001,LU.003.001,LevelUp.03.1,48,92614.0,,active
berliner-lu-004-004,LU.004.004,LevelUp.04.4,49,103561.0,,active
berliner-lu-005-002,LU.005.002,LevelUp.05.2,50,138501.0,,active
berliner-solar-explorer,,Solar Explorer,51,595.0,,name_only_active
berliner-tile-slide-fish,,Tile Slide Fish,51,531.0,,name_only_active
berliner-maze-slider,,Maze Slider,51,531.0,,name_only_active
berliner-roller-ball,,Roller Ball,51,595.0,,name_only_active
berliner-spin-maze,,Spin Maze,51,531.0,,name_only_active
berliner-level-3,,Level 3,51,531.0,,name_only_active
berliner-tumble-turn,,Tumble Turn,51,531.0,,name_only_active
berliner-make-it-rain,,Make It Rain,51,595.0,,name_only_active
berliner-spin-dice,,Spin Dice,51,595.0,,name_only_active
berliner-spin-maracas,,Spin Maracas,51,1063.0,,name_only_active
berliner-chimes,,Chimes,51,1265.0,,name_only_active
berliner-bongos,,Bongos,51,950.0,,name_only_active
berliner-arc-ladder,,Arc Ladder,52,,Price depends on individual project,name_only_on_request
berliner-vine,,Vine,52,,Price depends on individual project,name_only_on_request
berliner-horizontal-arc-ladder,,Horizontal Arc Ladder,52,,Price depends on individual project,name_only_on_request
berliner-access-net,,Access Net,52,,Price depends on individual project,name_only_on_request
berliner-net-climber,,Net Climber,52,,Price depends on individual project,name_only_on_request
berliner-rope-ladder,,Rope Ladder,52,,Price depends on individual project,name_only_on_request
berliner-climbing-plates,,Climbing Plates,52,,Price depends on individual project,name_only_on_request
berliner-rocking-plate-seat,,Rocking Plate Seat,52,,Price depends on individual project,name_only_on_request
berliner-access-rungs,,Access Rungs,52,,Price depends on individual project,name_only_on_request
berliner-balancing-balls,,Balancing Balls,52,,Price depends on individual project,name_only_on_request
berliner-s-ladder,,S-Ladder,52,,Price depends on individual project,name_only_on_request
berliner-climbing-ring-stairs,,Climbing Ring Stairs,52,,Price depends on individual project,name_only_on_request
berliner-spiral,,Spiral,52,,Price depends on individual project,name_only_on_request
berliner-climbing-rings,,Climbing Rings,52,,Price depends on individual project,name_only_on_request
berliner-vertical-access-rings,,Vertical Access Rings,52,,Price depends on individual project,name_only_on_request
berliner-horizontal-access-rings,,Horizontal Access Rings,52,,Price depends on individual project,name_only_on_request
berliner-satellights,,Satellights,52,,Price depends on individual project,name_only_on_request
berliner-chessboard-bridge,,Chessboard Bridge,52,,Price depends on individual project,name_only_on_request
berliner-fast-lane-slide,,Fast Lane Slide,52,,Price depends on individual project,name_only_on_request
berliner-90-292-400-2,90.292.400.2,Triitopia.02,59,322686.0,,active
berliner-90-292-402-0,90.292.402.0,Triitopia.20,60,181089.0,Price with stainless steel slide,active
berliner-90-292-400-4,90.292.400.4,Triitopia.04,61,62938.0,,active
berliner-90-292-400-7,90.292.400.7,Triitopia.07,61,55080.0,,active
berliner-90-292-400-8,90.292.400.8,Triitopia.08,62,186657.0,,active
berliner-90-292-400-5,90.292.400.5,Triitopia.05,62,80603.0,,active
berliner-90-292-402-1,90.292.402.1,Triitopia.21,63,104447.0,,active
berliner-90-292-010,90.292.010,Trii Base,65,7200.0,,active
berliner-trii1,,Trii1,65,14172.0,,name_only_active
berliner-trii2,,Trii2,65,13907.0,,name_only_active
berliner-trii3,,Trii3,65,15291.0,,name_only_active
berliner-quii,,Quii,65,9600.0,,name_only_active
berliner-90-292-100-1,90.292.100.1,Trii1.01,66,15148.0,,active
berliner-90-292-200-8,90.292.200.8,Trii2.08,66,26396.0,,active
berliner-90-292-300-3,90.292.300.3,Trii3.03,67,36098.0,,active
berliner-90-292-201-4,90.292.201.4,Trii2.14,67,15333.0,,active
berliner-90-293-102,90.293.102,Greenville Combi.102,68,40430.0,,active
berliner-90-293-061,90.293.061,Greenville Combi.061,69,26375.0,,active
berliner-90-293-039,90.293.039,Greenville Combi.039,70,78305.0,,active
berliner-90-293-362,90.293.362,Greenville Combi.362,70,61926.0,Price with stainless steel box slide,active
berliner-90-293-207,90.293.207,Greenville Combi.207,71,115786.0,,active
berliner-90-293-155,90.293.155,Greenville Combi.155,72,38306.0,,active
berliner-90-293-307,90.293.307,Greenville Combi.307,73,54030.0,Price with straight concave stainless steel slide,active
berliner-90-293-641,90.293.641,Greenville Combi.641,73,77922.0,,active
berliner-90-293-077,90.293.077,Greenville Combi.077,75,,Upon request,on_request
berliner-90-293-479,90.293.479,Greenville Combi.479,76,56984.0,,active
berliner-ladder-trii1,,Ladder Trii1,77,976.0,,name_only_active
berliner-ladder-trii2,,Ladder Trii2,77,1427.0,,name_only_active
berliner-ladder-trii3,,Ladder Trii3,77,1940.0,,name_only_active
berliner-rope-ladder-trii1,,Rope Ladder Trii1,77,447.0,,name_only_active
berliner-rope-ladder-trii2,,Rope Ladder Trii2,77,669.0,,name_only_active
berliner-rope-ladder-trii3,,Rope Ladder Trii3,77,810.0,,name_only_active
berliner-ramp-trii1,,Ramp Trii1,77,2877.0,,name_only_active
berliner-ramp-trii2,,Ramp Trii2,77,4205.0,,name_only_active
berliner-ramp-trii3,,Ramp Trii3,77,5717.0,,name_only_active
berliner-stairway-trii1,,Stairway Trii1,77,2630.0,,name_only_active
berliner-inner-net-trii1,,Inner Net Trii1,77,824.0,,name_only_active
berliner-inner-net-trii2,,Inner Net Trii2,77,1425.0,,name_only_active
berliner-inner-net-trii3,,Inner Net Trii3,77,2239.0,,name_only_active
berliner-access-net-trii1,,Access Net Trii1,77,2215.0,,name_only_active
berliner-access-net-trii2,,Access Net Trii2,77,2412.0,,name_only_active
berliner-access-net-trii3,,Access Net Trii3,77,2898.0,,name_only_active
berliner-twisted-net,,Twisted Net,77,2399.0,Price without posts,name_only_active
berliner-suspension-bridge,,Suspension Bridge,77,3234.0,Length 3 m,name_only_active
berliner-rubber-bridge,,Rubber Bridge,77,2200.0,Length 3 m,name_only_active
berliner-net-tunnel,,Net Tunnel,77,14717.0,Length 3 m,name_only_active
berliner-sliding-pole-trii1,,Sliding Pole Trii1,77,562.0,,name_only_active
