code,handle,title,image_status,has_catalog_object
,test-swing,Test Swing Set,placeholder,False
72-21060-11211411,leka-project-kogq3oha,PAWTASTIC TUNNEL,placeholder,False
75-21003-122131,leka-project-jeq14yr9,Stand & Spin,placeholder,False
75-21014-118131,leka-project-wnmab9f3,Twirl A Whirl,placeholder,False
75-21032-122131,leka-project-3pwa22ij,Hang & Spin,placeholder,False
76-21079-112118,leka-project-0k6an6h6,School Bus (Galena),placeholder,False
A4-490899,leka-project-edv04n0n,Car Wash Splash Center™,placeholder,True
A4-497399,leka-project-6me52s8u,My First Holiday Train & Track,placeholder,True
A4-5433KR,leka-project-uwym9iou,Outdoor Storage Bench,placeholder,True
A4-729699,leka-project-ld0hrrlh,Infant To Toddler Swing (Pink),placeholder,True
A4-740500,leka-project-m297k6do,Crabbie Sandbox™,placeholder,True
A4-WSD2002,leka-project-7jd3hq6x,Police Coupe,placeholder,True
A4-WSD2003,leka-project-bjel1yxt,Dinosaur Coupe,placeholder,True
A4-WSD4001,leka-project-zpavxei9,Rectangular Picnic Table,placeholder,False
A8-20-1232,leka-project-ui52iz6z,Viking Toys Ecoline Midi Tractor,placeholder,True
A8-20-1251,leka-project-myp7esf9,Viking Toys Ecoline Jumbo Fire Truck,placeholder,True
A8-20-1252,leka-project-vb1vyv99,Viking Toys Ecoline Jumbo Digger Truck,placeholder,True
A8-20-1255,leka-project-fk0v90s5,Viking Toys Ecoline Jumbo Tractor Digger,placeholder,True
AJ1D2221,leka-project-b9k123a5,Outdoor Storage Shed,placeholder,False
AS-350802,leka-project-9qd8pyn8,"3.5"" Arch Swing Frame 8ft-2 Bay",placeholder,False
AS-350803,leka-project-7a460eg2,"3.5"" Arch Swing Frame 8ft-3 Bay",placeholder,False
AS-350804,leka-project-52feh7xd,"3.5"" Arch Swing Frame 8ft-4 Bay",placeholder,False
AS350800-MM-1101,leka-project-xycz21np,LITTLE BREEZE SWING,placeholder,False
AT50CS-0001-10111,leka-project-khy7eu0f,Atlanta Castle - Physical Activity Set A (Silver Gray & Brown),placeholder,False
AT50CS-0002-10111,leka-project-j8fsrdtf,Atlanta Castle - Physical Activity Set B (Silver Gray & Brown),placeholder,False
AT50CS-0003-10111,leka-project-d4rpaijl,Atlanta Castle - Physical Activity Set C (Silver Gray & Brown),placeholder,False
AT50CS-0004-10111,leka-project-cojpm14p,Atlanta Castle - Physical Activity Set D (Silver Gray & Brown),placeholder,False
AT50CS-0005-10111,leka-project-jhdrj92w,Atlanta Castle - Physical Activity Set E (Silver Gray & Brown),placeholder,False
AT50CS-0006-10111,leka-project-v6k9fzkw,Atlanta Castle - Physical Activity Set F (Silver Gray & Brown),placeholder,False
AT50CS-0007-10111,leka-project-d24mglc4,Atlanta Castle - Physical Activity Set G (Silver Gray & Brown),placeholder,False
AT50CS-0008-10111,leka-project-vgqiz6xe,AT50CS-0008-10111,placeholder,False
AT50CS-0009-10111,leka-project-yag2nibw,Atlanta Castle - Physical Activity Set H (Silver Gray & Brown),placeholder,False
AT50CS-0010-10111,leka-project-j6elw9dt,Atlanta Castle - Physical Activity Set I (Silver Gray & Brown),placeholder,False
AT50CS-A0001-110113,leka-project-ztrsc0rk,Atlanta Castle - Euro Style Set A (Dark Green & Tan),placeholder,False
AT50CS-A0002-110113,leka-project-7s25gofa,Atlanta Castle - Euro Style Set B (Dark Green & Tan),placeholder,False
AT50CS-A0003-110113,leka-project-mns2ga96,Atlanta Castle - Euro StyleSet C (Dark Green & Tan),placeholder,False
AT50CS-A0004-110113,leka-project-gdiybebj,Atlanta Castle - Euro Style Set D (Dark Green & Tan),placeholder,False
AT50CS-A0005-110113,leka-project-vgq011qt,Atlanta Castle - Euro Style Set E (Dark Green & Tan),placeholder,False
AT50CS-A0006-110113,leka-project-vnxkfa2a,Atlanta Castle - Euro Style Set F (Dark Green & Tan),placeholder,False
