handle,item_code,category,name,fob_usd,landed_thb,retail_thb,retail_usd,retail_eur,source_pricelist
designpark-5w092-58a16a21-00,5W092-58A16A21-00,Slides & Tubes,PE SINGLE SLIDE 900,375.0,19836.59,30517.83,916.7,788.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row5
designpark-5w093-58a16a21-00,5W093-58A16A21-00,Slides & Tubes,PE DOUBLE SLIDE 1200,575.0,30416.11,46794.02,1405.61,1209.03,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row6
designpark-5p091-58a12a14-00,5P091-58A12A14-00,Slides & Tubes,FRP OPEN SLIDE 600,815.0,43111.52,66325.42,1992.3,1713.67,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row7
designpark-5p091-58b12a14-00,5P091-58B12A14-00,Slides & Tubes,FRP OPEN SLIDE 900,925.0,48930.25,75277.31,2261.2,1944.96,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row8
designpark-5p091-58c12a14-00,5P091-58C12A14-00,Slides & Tubes,FRP OPEN SLIDE 1200,1265.0,66915.42,102946.8,3092.34,2659.86,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row9
designpark-5p091-58d12a14-00,5P091-58D12A14-00,Slides & Tubes,FRP OPEN SLIDE 1500,1500.0,79346.36,122071.32,3666.81,3153.99,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row10
designpark-5p091-58e12a14-00,5P091-58E12A14-00,Slides & Tubes,FRP OPEN SLIDE 1800,2070.0,109497.98,168458.43,5060.19,4352.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row11
designpark-5p090-58f00a00-00,5P090-58F00A00-00,Slides & Tubes,PE TUBE EXIT,235.0,12430.93,19124.51,574.47,494.12,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row12
designpark-5p090-58a30a00-00,5P090-58A30A00-00,Slides & Tubes,PE CURVED TUBE 30 DEGREE,100.0,5289.76,8138.09,244.45,210.27,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row13
designpark-5p090-58a90a00-00,5P090-58A90A00-00,Slides & Tubes,PE CURVED TUBE 90 DEGREE,145.0,7670.15,11800.23,354.46,304.89,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row14
designpark-5p090-58b0300a-00,5P090-58B0300A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 300,90.0,4760.77,7324.26,220.01,189.24,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row15
designpark-5p090-58b0600a-00,5P090-58B0600A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 600,110.0,5818.73,8951.89,268.9,231.29,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row16
designpark-5p090-58b1000a-00,5P090-58B1000A-00,Slides & Tubes,PE STRAIGHT TUBE SLIDE 1000,145.0,7670.15,11800.23,354.46,304.89,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row17
designpark-3p090-40b0300a-00,3P090-40B0300A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 300,455.0,24068.4,37028.31,1112.27,956.71,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row18
designpark-3p090-40b0600a-00,3P090-40B0600A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 600,650.0,34383.42,52897.57,1588.95,1366.73,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row19
designpark-3p090-40b1000a-00,3P090-40B1000A-00,Slides & Tubes,PC CLEAR + FRP TUBE SLIDE 1000,810.0,42847.04,65918.52,1980.08,1703.15,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Slides & Tubes:row20
designpark-ptm12-01,PTM12-01,Fitness (Premium),Upright Cycle,2820.0,149171.17,229494.11,6893.6,5929.5,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row5
designpark-ptm12-02,PTM12-02,Fitness (Premium),Recumbent Cycle,2930.0,154989.9,238446.0,7162.5,6160.79,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row6
designpark-ptm12-03,PTM12-03,Fitness (Premium),Pull Weight,3300.0,174562.0,268556.92,8066.98,6938.77,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row7
designpark-ptm12-04,PTM12-04,Fitness (Premium),Rope Pulling,1920.0,101563.34,156251.29,4693.51,4037.1,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row8
designpark-ptm12-05,PTM12-05,Fitness (Premium),Rolling Waist,2050.0,108440.04,166830.83,5011.3,4310.45,2024-03-27 Design Park Pricelist D'Park Price List (USD-2024).xlsx:Fitness (Premium):row9
