handle,item_code,article_number,floored,exw_eur,old_landed_thb,new_landed_thb,old_retail_thb,new_retail_thb,thb_delta_pct,old_retail_usd,new_retail_usd,old_retail_eur,new_retail_eur,old_retail_sgd,new_retail_sgd
eurotramp-adaption-bars-safety-platform-integral-ultimate,ET-30800,30800,False,167.68,9622.09,10418.44,12508.71,17150.35,37.1,378.51,485.01,322.49,413.23,481.59,617.09
eurotramp-adhesive-cartridge-for-kids-tramp-impact-protection-e97003,E97003,,True,13.87,1266.02,861.78,1645.83,1645.83,0.0,49.8,49.8,42.43,42.43,63.36,63.36
eurotramp-adhesive-cartridge-for-kids-tramp-impact-protection-e97043,E97043,,True,13.87,1266.02,861.78,1645.83,1645.83,0.0,49.8,49.8,42.43,42.43,63.36,63.36
eurotramp-albatross,ET-03150-eurotramp-albatross,03150,False,8421.25,458015.57,523236.29,595420.25,861327.43,44.7,18017.27,24358.46,15350.75,20753.46,22923.7,30991.72
eurotramp-anchor-bar-kids-tramp-e20970,E20970,,True,1.11,572.8,68.97,744.65,744.65,0.0,22.53,22.53,19.2,19.2,28.67,28.67
eurotramp-anti-slip-plate-dmt,ET-23201,23201,False,596.18,32901.3,37042.36,42771.69,60977.43,42.6,1294.26,1724.45,1102.71,1469.24,1646.71,2194.05
eurotramp-bonded-impact-protection-kids-tramp-track-10m-e97941,E97941,,False,2128.55,116150.71,132252.88,150995.92,217708.59,44.2,4569.1,6156.83,3892.88,5245.63,5813.35,7833.45
eurotramp-bonded-impact-protection-kids-tramp-track-4m-e97441,E97441,,False,1066.17,58434.55,66244.18,75964.91,109048.12,43.6,2298.68,3083.9,1958.48,2627.49,2924.65,3923.7
eurotramp-bonded-impact-protection-kids-tramp-track-6m-e97641,E97641,,False,1401.95,76676.54,87107.15,99679.5,143391.78,43.9,3016.28,4055.14,2569.87,3454.99,3837.66,5159.43
eurotramp-bonded-impact-protection-kids-tramp-track-8m-e97841,E97841,,False,1765.35,96419.05,109686.23,125344.77,180560.41,44.1,3792.9,5106.27,3231.56,4350.56,4825.78,6496.81
eurotramp-bonded-impact-protection-system-kids-tramp-e97041,E97041,,False,368.34,20523.38,22886.02,26680.4,37673.9,41.2,807.34,1065.42,687.86,907.74,1027.2,1355.56
eurotramp-bonded-impact-protection-system-kids-tramp-loop-e97051,E97051,,False,242.69,13697.17,15079.02,17806.32,24822.39,39.4,538.81,701.98,459.07,598.09,685.54,893.14
eurotramp-bonded-impact-protection-system-kids-tramp-loop-xl-e97542,E97542,,False,451.37,25034.17,28044.91,32544.42,46166.23,41.9,984.79,1305.59,839.04,1112.36,1252.96,1661.12
eurotramp-bonded-impact-protection-system-kids-tramp-xl-e97544,E97544,,False,545.34,30139.31,33883.53,39181.1,55777.5,42.4,1185.61,1577.4,1010.14,1343.94,1508.47,2006.95
eurotramp-bonded-impact-protection-system-wehrfritz-fun-round-e94700,E94700,,False,1465.52,80130.12,91056.94,104169.15,149893.73,43.9,3152.13,4239.02,2685.62,3611.65,4010.52,5393.38
eurotramp-bonded-impact-protection-system-wehrfritz-fun-xl-e94541,E94541,,False,853.5,46880.78,53030.39,60945.01,87296.18,43.2,1844.18,2468.75,1571.25,2103.38,2346.39,3141.03
eurotramp-booster-board,ET-61000,61000,False,881.72,48413.9,54783.78,62938.07,90182.53,43.3,1904.49,2550.37,1622.63,2172.92,2423.12,3244.89
eurotramp-booster-board-freestyle,ET-61000F,61000F,False,1006.2,55176.54,62518.08,71729.5,102914.37,43.5,2170.52,2910.43,1849.28,2479.69,2761.59,3703.0
eurotramp-bounce-cloud,ET-93000,,False,1221.0,66846.03,75864.21,86899.84,124884.17,43.7,2629.57,3531.74,2240.4,3009.05,3345.65,4493.5
eurotramp-bouncecloud-3-piece-combination-green-93020,93020,,False,3663.0,199513.09,227592.64,259367.02,374652.5,44.4,7848.38,10595.23,6686.84,9027.15,9985.64,13480.5
eurotramp-bouncecloud-3-piece-combination-orange-93022,93022,,False,3663.0,199513.09,227592.64,259367.02,374652.5,44.4,7848.38,10595.23,6686.84,9027.15,9985.64,13480.5
eurotramp-bouncecloud-3-piece-combination-yellow-93021,93021,,False,3663.0,199513.09,227592.64,259367.02,374652.5,44.4,7848.38,10595.23,6686.84,9027.15,9985.64,13480.5
eurotramp-bouncecloud-6-piece-combination-green-93030,93030,,False,6959.7,378613.63,432426.02,492197.72,711839.75,44.6,14893.78,20130.93,12689.53,17151.59,18949.63,25612.95
eurotramp-bouncecloud-6-piece-combination-orange-93032,93032,,False,6959.7,378613.63,432426.02,492197.72,711839.75,44.6,14893.78,20130.93,12689.53,17151.59,18949.63,25612.95
eurotramp-bouncecloud-6-piece-combination-yellow-93031,93031,,False,6959.7,378613.63,432426.02,492197.72,711839.75,44.6,14893.78,20130.93,12689.53,17151.59,18949.63,25612.95
eurotramp-bouncecloud-orange-93002,93002,,False,1221.0,66846.03,75864.21,86899.84,124884.17,43.7,2629.57,3531.74,2240.4,3009.05,3345.65,4493.5
eurotramp-bouncecloud-yellow-93001,93001,,False,1221.0,66846.03,75864.21,86899.84,124884.17,43.7,2629.57,3531.74,2240.4,3009.05,3345.65,4493.5
eurotramp-bungee-longe,ET-34500,34500,False,3068.22,167200.34,190637.26,217360.45,313818.26,44.4,6577.27,8874.82,5603.85,7561.37,8368.39,11291.6
eurotramp-clamping-jaw-inside-bouncecloud-e44193,E44193,,True,3.75,716.23,233.0,931.1,931.1,0.0,28.17,28.17,24.01,24.01,35.85,35.85
eurotramp-clamping-jaw-outside-center-bouncecloud-e44194,E44194,,True,2.75,661.89,170.87,860.46,860.46,0.0,26.04,26.04,22.18,22.18,33.13,33.13
eurotramp-clamping-jaw-outside-corner-bouncecloud-e44195,E44195,,True,2.75,661.89,170.87,860.46,860.46,0.0,26.04,26.04,22.18,22.18,33.13,33.13
eurotramp-concrete-foundation,ET-93100,,False,222.22,12585.1,13807.16,16360.63,22728.71,38.9,495.07,642.77,421.8,547.64,629.88,817.81
eurotramp-eurotramp-play,ET-EPGS0001,,False,2860.58,155919.85,177736.0,202695.8,292580.79,44.3,6133.52,8274.23,5225.78,7049.66,7803.8,10527.45
eurotramp-eurotramp-play-light-epl0001,EPL0001,,False,1471.42,80450.66,91423.52,104585.85,150497.18,43.9,3164.74,4256.08,2696.37,3626.19,4026.56,5415.09
eurotramp-eurotramp-spotting-mat,ET-28600,28600,False,576.4,31826.7,35813.38,41374.72,58954.33,42.5,1251.99,1667.24,1066.7,1420.49,1592.93,2121.26
eurotramp-frame-bouncecloud-e41093,E41093,,False,283.08,15891.45,17588.57,20658.88,28953.49,40.2,625.13,818.81,532.61,697.63,795.37,1041.79
eurotramp-frame-pads-set-80mm-safety-plus,ET-E11118,E11118,False,2240.55,122235.35,139211.76,158905.95,229163.98,44.2,4808.45,6480.79,4096.81,5521.65,6117.89,8245.63
eurotramp-grand-master,ET-13000,13000,False,5363.56,291899.79,333253.29,379469.72,548586.18,44.6,11482.66,15514.09,9783.25,13218.04,14609.6,19738.87
eurotramp-ground-trampoline-freestyle,ET-96000F,96000F,False,4465.44,243107.43,277450.53,316039.65,456726.25,44.5,9563.28,12916.28,8147.93,11004.7,12167.54,16433.62
eurotramp-ground-trampoline-indoor,ET-96044,96044,False,5669.77,308535.32,352278.99,401095.92,579905.41,44.6,12137.06,16399.81,10340.8,13972.67,15442.21,20865.78
eurotramp-hdts,ET-HDTS01,HDTS01,False,6717.54,365457.74,417379.93,475095.06,687071.57,44.6,14376.26,19430.48,12248.6,16554.81,18291.18,24721.76
eurotramp-impact-protection-system,ET-E97541,,False,545.34,30139.31,33883.53,39181.1,55777.5,42.4,1185.61,1577.4,1010.14,1343.94,1508.47,2006.95
eurotramp-impactprotection-system-kids-tramp-e97044,E97044,,False,368.34,20523.38,22886.02,26680.4,37673.9,41.2,807.34,1065.42,687.86,907.74,1027.2,1355.56
eurotramp-jumping-bed-kids-tramp-kindergarten-e21897,E21897,,False,224.02,12682.88,13919.0,16487.75,22912.82,39.0,498.92,647.98,425.08,552.08,634.78,824.43
eurotramp-jumping-bed-kids-tramp-kindergarten-xl-e21879,E21879,,False,498.17,27576.68,30952.72,35849.69,50952.94,42.1,1084.8,1440.96,924.25,1227.7,1380.21,1833.36
eurotramp-jumping-bed-kids-tramp-playground-additional-coating-e21898b,E21898B,,False,658.51,36287.52,40915.11,47173.77,67352.56,42.8,1427.47,1904.74,1216.2,1622.84,1816.19,2423.44
eurotramp-jumping-bed-kids-tramp-playground-e21898,E21898,,False,374.35,20849.89,23259.43,27104.86,38288.61,41.3,820.19,1082.81,698.8,922.55,1043.54,1377.68
eurotramp-jumping-bed-kids-tramp-playground-xl-additional-coating-e21899b,E21899B,,False,1126.51,61712.65,69993.28,80226.45,115219.71,43.6,2427.63,3258.43,2068.35,2776.19,3088.72,4145.76
eurotramp-jumping-bed-kids-tramp-playground-xl-e21899,E21899,,False,755.05,41532.27,46913.41,53991.95,77226.69,43.0,1633.78,2183.98,1391.99,1860.76,2078.69,2778.72
eurotramp-jumping-bed-kids-tramp-track-playground-10m-e21009,E21009,,False,3597.72,195966.62,223536.61,254756.6,367975.65,44.4,7708.87,10406.4,6567.97,8866.28,9808.14,13240.26
eurotramp-jumping-bed-kids-tramp-track-playground-4m-e21004,E21004,,False,1529.6,83611.41,95038.41,108694.84,156447.85,43.9,3289.08,4424.37,2802.3,3769.57,4184.76,5629.2
eurotramp-jumping-bed-kids-tramp-track-playground-6m-e21006,E21006,,False,2189.39,119455.97,136033.05,155292.76,223931.32,44.2,4699.12,6332.81,4003.66,5395.57,5978.78,8057.35
eurotramp-jumping-bed-kids-tramp-track-playground-8m-e21008,E21008,,False,2884.66,157228.05,179232.16,204396.46,295043.7,44.3,6184.99,8343.88,5269.62,7109.0,7869.27,10616.07
eurotramp-jumping-bed-wehrfritz-fun-round-kindergarten-e21950,E21950,,False,992.38,54425.73,61659.4,70753.45,101500.86,43.5,2140.98,2870.46,1824.12,2445.64,2724.01,3652.14
eurotramp-jumping-bed-wehrfritz-fun-round-playground-additional-coating-e21947b,E21947B,,False,2191.42,119566.25,136159.18,155436.12,224138.95,44.2,4703.46,6338.68,4007.36,5400.57,5984.3,8064.82
