item_code,type,product_group,name,list_eur,eur_fob,cbm_method,landed_thb_sea,landed_thb_air,retail_sgd_sea_computed,retail_sgd_air_computed,retail_sgd_firestore,retail_sgd_live_medusa,medusa_status,in_medusa,n_prices_live,price_state,known_tbc
A1-01A-00,2D,A-basic shapes,Circle 18 cm - standard colours,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,published,True,4,live=sea-LCL,False
A1-01A-01,2D,A-basic shapes,Circle 18 cm - red,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,draft,True,4,live=sea-LCL,False
A1-01A-02,2D,A-basic shapes,Circle 18 cm - beige,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,draft,True,4,live=sea-LCL,False
A1-01A-04,2D,A-basic shapes,Circle 18 cm - signal green,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,draft,True,4,live=sea-LCL,False
A1-01A-06,2D,A-basic shapes,Circle 18 cm - capri blue,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,draft,True,4,live=sea-LCL,False
A1-01A-09,2D,A-basic shapes,Circle 18 cm - rose,20.0,17.0,flat_uplift,1184.47,1184.47,75.8,75.8,75.8,75.8,draft,True,4,live=sea-LCL,False
A1-01A-50UV,2D,A-basic shapes,Circle 18 cm - UV colours,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-51UV,2D,A-basic shapes,Circle 18 cm - UV sky blue,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-52UV,2D,A-basic shapes,Circle 18 cm - UV yellow,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-53UV,2D,A-basic shapes,Circle 18 cm - UV may green,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-56UV,2D,A-basic shapes,Circle 18 cm - UV teal,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-57UV,2D,A-basic shapes,Circle 18 cm - UV rainbow blue,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01A-59UV,2D,A-basic shapes,Circle 18 cm - UV orange,24.0,20.4,flat_uplift,1421.37,1421.37,90.96,90.96,90.96,90.96,draft,True,4,live=sea-LCL,False
A1-01B-00,2D,A-basic shapes,Circle 20 cm - standard colours,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-02,2D,A-basic shapes,Circle 20 cm - beige,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-03,2D,A-basic shapes,Circle 20 cm - earth yellow,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-04,2D,A-basic shapes,Circle 20 cm - signal green,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-07,2D,A-basic shapes,Circle 20 cm - black,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-08,2D,A-basic shapes,Circle 20 cm - eggshell,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-09,2D,A-basic shapes,Circle 20 cm - rose,22.0,18.7,flat_uplift,1302.92,1302.92,83.38,83.38,83.38,83.38,draft,True,4,live=sea-LCL,False
A1-01B-50UV,2D,A-basic shapes,Circle 20 cm - UV colours,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-51UV,2D,A-basic shapes,Circle 20 cm - UV sky blue,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-53UV,2D,A-basic shapes,Circle 20 cm - UV may green,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-54UV,2D,A-basic shapes,Circle 20 cm - UV purple,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-56UV,2D,A-basic shapes,Circle 20 cm - UV teal,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-57UV,2D,A-basic shapes,Circle 20 cm - UV rainbow blue,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-58UV,2D,A-basic shapes,Circle 20 cm - UV light grey,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-59UV,2D,A-basic shapes,Circle 20 cm - UV orange,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01B-67UV,2D,A-basic shapes,Circle 20 cm - UV lime green,26.0,22.1,flat_uplift,1539.81,1539.81,98.54,98.54,98.54,98.54,draft,True,4,live=sea-LCL,False
A1-01C-00,2D,A-basic shapes,Circle 30 cm - standard colours,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-01,2D,A-basic shapes,Circle 30 cm - red,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-02,2D,A-basic shapes,Circle 30 cm - beige,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-03,2D,A-basic shapes,Circle 30 cm - earth yellow,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-04,2D,A-basic shapes,Circle 30 cm - signal green,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-06,2D,A-basic shapes,Circle 30 cm - capri blue,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-07,2D,A-basic shapes,Circle 30 cm - black,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-08,2D,A-basic shapes,Circle 30 cm - eggshell,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-09,2D,A-basic shapes,Circle 30 cm - rose,27.0,22.95,flat_uplift,1599.04,1599.04,102.33,102.33,102.33,102.33,draft,True,4,live=sea-LCL,False
A1-01C-50UV,2D,A-basic shapes,Circle 30 cm - UV colours,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-51UV,2D,A-basic shapes,Circle 30 cm - UV sky blue,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-52UV,2D,A-basic shapes,Circle 30 cm - UV yellow,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-53UV,2D,A-basic shapes,Circle 30 cm - UV may green,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-54UV,2D,A-basic shapes,Circle 30 cm - UV purple,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-55UV,2D,A-basic shapes,Circle 30 cm - UV pearl,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-56UV,2D,A-basic shapes,Circle 30 cm - UV teal,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-57UV,2D,A-basic shapes,Circle 30 cm - UV rainbow blue,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-58UV,2D,A-basic shapes,Circle 30 cm - UV light grey,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01C-59UV,2D,A-basic shapes,Circle 30 cm - UV orange,32.0,27.2,flat_uplift,1895.15,1895.15,121.28,121.28,121.28,121.28,draft,True,4,live=sea-LCL,False
A1-01D-00,2D,A-basic shapes,Circle 40 cm - standard colours,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-01,2D,A-basic shapes,Circle 40 cm - red,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-03,2D,A-basic shapes,Circle 40 cm - earth yellow,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-06,2D,A-basic shapes,Circle 40 cm - capri blue,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-11,2D,A-basic shapes,Circle 40 cm - dark grey,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-12,2D,A-basic shapes,Circle 40 cm - pink,34.0,28.9,flat_uplift,2013.6,2013.6,128.86,128.86,128.86,128.86,draft,True,4,live=sea-LCL,False
A1-01D-50UV,2D,A-basic shapes,Circle 40 cm - UV colours,41.0,34.85,flat_uplift,2428.17,2428.17,155.39,155.39,155.39,155.39,draft,True,4,live=sea-LCL,False
A1-01D-51UV,2D,A-basic shapes,Circle 40 cm - UV sky blue,41.0,34.85,flat_uplift,2428.17,2428.17,155.39,155.39,155.39,155.39,draft,True,4,live=sea-LCL,False
A1-01D-52UV,2D,A-basic shapes,Circle 40 cm - UV yellow,41.0,34.85,flat_uplift,2428.17,2428.17,155.39,155.39,155.39,155.39,draft,True,4,live=sea-LCL,False
A1-01D-53UV,2D,A-basic shapes,Circle 40 cm - UV may green,41.0,34.85,flat_uplift,2428.17,2428.17,155.39,155.39,155.39,155.39,draft,True,4,live=sea-LCL,False
