code,name,type,qty,quoted_sgd,catalog_sgd,delta,match,retail_status,variant_id
C5-01A-05,Hedgehog,4soft-EPDM,,1459.15,1459.15,0.0,MATCH,priced,variant_01KNQ3R6J2HWF2RB27JYW9ESK7
C5-02A-03,Butterfly,4soft-EPDM,,1554.96,1554.96,0.0,MATCH,priced,variant_01KNQ3QMVCZBVBYKCACP9KQVRM
C5-03A-01,Ladybird - 2D,4soft-EPDM,,1599.17,1599.17,0.0,MATCH,priced,variant_01KNQ3QQ8G9J0WJA2H0F3D2EHG
D1-05A-70UV,"Set of 5 leaves (Maple, Linden, Oak, Four-leaf clo",4soft-EPDM,,1785.1,1785.1,0.0,MATCH,priced,variant_01KNQ3S6H8A9537V71DS07MJH7
D3-01A-02,Mushroom-1 - beige,4soft-EPDM,,1238.07,1238.07,0.0,MATCH,priced,variant_01KNQ3R2D7YP9H8X1NX7QR3KQT
D5-01A-03,Sun-2 - earth yellow,4soft-EPDM,,1510.74,1510.74,0.0,MATCH,priced,variant_01KNQ3SGV13XVT8RNKTRH6CB55
D5-04A-06,Cloud - capri blue,4soft-EPDM,,899.07,899.07,0.0,MATCH,priced,variant_01KNQ3RS69X204APX51344AAJD
E1-01A-20,Labyrinth,4soft-EPDM,,1171.11,1171.11,0.0,MATCH,priced,variant_01KNQ3RHQRPEQF328HK0GH3RS1
E1-04A-57UV,"Target with numbers 1, 5,10",4soft-EPDM,,1190.06,1190.06,0.0,MATCH,priced,variant_01KNQ3QPASZ47AM1S8F2YY381N
E1-05A-20,Target with numbers - big,4soft-EPDM,,2860.2,2860.2,0.0,MATCH,priced,variant_01KNQ3SN9FM732WZG3DCTP8B4R
E1-08A-02,Jumping box small - beige,4soft-EPDM,,1945.54,1945.54,0.0,MATCH,priced,variant_01KNQ3SC4SM6XHR77HGMQ88B9B
E2-01A-03,Clock,4soft-EPDM,,1569.06,1569.06,0.0,MATCH,priced,variant_01KNQ3R23CEQZ7S1FH6BJJAZZ0
E2-04A-20,Hopscotch Kite (1-9),4soft-EPDM,,4371.56,4371.56,0.0,MATCH,priced,variant_01KNQ3RJA4J6YV8A7X8Z1DXV7Q
E3-05A-53UV,Snake and Ladders game,4soft-EPDM,,7880.81,7880.81,0.0,MATCH,priced,variant_01KNQ3R3ADHETBPJQVX1YVVYVH
F4-03A-20,Hopscotch Policeman (1-8),4soft-EPDM,,3301.52,3301.52,0.0,MATCH,priced,variant_01KNQ3S0BQ9S5NQC4RP2BBYNDJ
F5-03A-20,Jump leaflets with numbers 1-8,4soft-EPDM,,4203.54,4203.54,0.0,MATCH,priced,variant_01KNQ3SD8MZAHSHAW670ZGYR2Y
F5-06A-20,Sunflower - hopscotch (1-10),4soft-EPDM,,5212.58,5212.58,0.0,MATCH,priced,variant_01KNQ3SE40A8EJ65MWCJSTZW61
G2-01A-07,Lights SMALL - black,4soft-EPDM,,722.21,722.21,0.0,MATCH,priced,variant_01KNQ3SANDPBA5TCSJDD4DQ5XQ
