code,name,list_eur,section,dimension,product_group,unit
J1-01A-20,3D Crocodile BIG (2D body with numbers),3265.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J1-02A-59UV,3D Monkey - boy hopscotch,2150.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J1-02B-05,3D Monkey - girl target,2050.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J2-01A-06,3D Compass (set of 13 pcs),933.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,set
J2-02A-20,Rubik´s cube SMALL,4106.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J2-03A-05,3D Palm tree,2091.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J3-01A-20,LUDO big 3D - circle,4072.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
J3-02A-20,LUDO big 3D - square,5540.0,3D Products/J-3D sport+games/,3D,J-3D sport+games,each
K1-01A-05,3D Turtle,968.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-01B-05,3D Turtle MINI,630.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-02A-09,3D Sea star,584.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-02B-09,3D Sea star MINI,520.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-03A-04,3D Head of crocodile,864.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-04A-11,3D Whale,1756.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-05A-61UV,3D Miss Hippo,991.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-05B-61UV,3D Miss Hippo with body (set of 2 pcs),1693.0,3D Products/K-3D animals/,3D,K-3D animals,set
K1-06A-61UV,3D Shark,1251.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-07A-20,3D Crocodile - half balls (2D legs),3215.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-07B-20,3D Crocodile - half balls with numbers (2D legs),3476.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-07C-20,"3D Crocodile - (3D body, 2D head-tail-legs)",1752.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-07D-20,"3D Crocodile - with numbers (3D body, 2D head-tail-legs)",1965.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-08A-52UV,3D Octopus - 2D tentacles,2166.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-08B-52UV,3D Octopus - 3D tentacles,2628.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-09A-61UV,3D Dolphin,1834.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-10A-70UV,3D Frog,2044.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-11A-20,3D Carp,1815.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-12A-02,3D Seashell,526.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-12B-02,3D Seashell - small,404.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-13A-02,3D Seal swimming,1326.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-13B-02,3D Seal chilling,1275.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-13C-58UV,3D Seal head,633.0,3D Products/K-3D animals/,3D,K-3D animals,each
K1-14A-20,3D Beaver,1082.0,3D Products/K-3D animals/,3D,K-3D animals,each
K2-01A-20,3D Snake (set of 5 pcs),1570.0,3D Products/K-3D animals/,3D,K-3D animals,set
