handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-j1-01a-20,J1-01A-20,3D Crocodile BIG (2D body with numbers),3D,J-3D sport+games,each,3265.0,2612.0,0.891,dims_scaled,158287.26,158287.26,0.5663,,282278.95,7933.24,6818.77,10143.07,15000,11706.65,9014.12
4soft-j1-02a-59uv,J1-02A-59UV,3D Monkey - boy hopscotch,3D,J-3D sport+games,each,2150.0,1720.0,0.891,dims_scaled,117261.99,117261.99,0.7621,,209117.22,5877.09,5051.47,7514.16,15000,8221.07,6330.22
4soft-j1-02b-05,J1-02B-05,3D Monkey - girl target,3D,J-3D sport+games,each,2050.0,1640.0,0.0,flat_uplift,101520.2,100819.08,0.6,floored,181044.36,5088.12,4373.33,6505.43,22207.543400000002,8565.77,6595.64
4soft-j2-01a-06,J2-01A-06,3D Compass (set of 13 pcs),3D,J-3D sport+games,set,933.0,746.4,0.2936,dims_scaled,72483.76,72483.76,1.51,,129262.71,3632.83,3122.49,4644.77,15000,4416.63,3400.81
4soft-j2-02a-20,J2-02A-20,Rubik´s cube SMALL,3D,J-3D sport+games,each,4106.0,3284.8,0.0921,dims_scaled,189230.98,189230.98,0.489,,337461.91,9484.12,8151.78,12125.95,15000,14335.68,11038.47
4soft-j2-03a-05,J2-03A-05,3D Palm tree,3D,J-3D sport+games,each,2091.0,1672.8,0.8392,dims_scaled,115091.16,115091.16,0.7783,,205245.9,5768.29,4957.95,7375.06,15000,8036.63,6188.21
4soft-j3-01a-20,J3-01A-20,LUDO big 3D - circle,3D,J-3D sport+games,each,4072.0,3257.6,0.9004,dims_scaled,187979.98,187979.98,0.4915,,335230.96,9421.42,8097.89,12045.78,15000,14229.39,10956.63
4soft-j3-02a-20,J3-02A-20,LUDO big 3D - square,3D,J-3D sport+games,each,5540.0,4432.0,1.2833,dims_scaled,248631.63,241993.5,0.45,floored,443393.07,12461.24,10710.67,15932.35,15000,18818.48,14490.23
4soft-k1-01a-05,K1-01A-05,3D Turtle,3D,K-3D animals,each,968.0,774.4,0.074,dims_scaled,73771.55,73771.55,1.4623,,131559.26,3697.38,3177.96,4727.29,15000,4526.04,3485.05
4soft-k1-01b-05,K1-01B-05,3D Turtle MINI,3D,K-3D animals,each,630.0,504.0,0.0,flat_uplift,31198.89,30983.42,0.6,floored,55638.02,1563.67,1344.0,1999.23,6824.757240000003,2632.41,2026.95
