handle,item_code,name,dimension,product_group,unit,list_eur,eur_fob,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb
4soft-j1-01a-20,J1-01A-20,3D Crocodile BIG (2D body with numbers),3D,J-3D sport+games,each,3265.0,2775.25,0.891,dims_scaled,171896.64,171896.64,0.6002,,306549.01,8615.62,7401.39,11000.53,20087.6,12858.68,9901.18
4soft-j1-02a-59uv,J1-02A-59UV,3D Monkey - boy hopscotch,3D,J-3D sport+games,each,2150.0,1827.5,0.891,dims_scaled,128285.79,128285.79,0.8135,,228776.33,6429.8,5523.63,8209.65,20087.6,9153.42,7048.14
4soft-j1-02b-05,J1-02B-05,3D Monkey - girl target,3D,J-3D sport+games,each,2050.0,1742.5,0.0,flat_uplift,107918.46,107173.15,0.6,floored,192454.59,5408.97,4646.67,6906.24,23607.16347500001,9105.62,7011.33
4soft-j2-01a-06,J2-01A-06,3D Compass (set of 13 pcs),3D,J-3D sport+games,set,933.0,793.05,0.2936,dims_scaled,64833.12,64833.12,1.112,,115619.06,3249.5,2791.53,4149.0,6619.21,3762.37,2897.03
4soft-j2-02a-20,J2-02A-20,Rubik´s cube SMALL,3D,J-3D sport+games,each,4106.0,3490.1,0.0921,dims_scaled,195888.46,183591.37,0.45,floored,349334.42,9818.11,8434.41,12535.88,2076.39,13852.28,10666.26
4soft-j2-03a-05,J2-03A-05,3D Palm tree,3D,J-3D sport+games,each,2091.0,1777.35,0.8392,dims_scaled,124603.58,124603.58,0.8112,,222209.72,6245.25,5365.08,7974.01,18919.76,8840.58,6807.24
4soft-j3-01a-20,J3-01A-20,LUDO big 3D - circle,3D,J-3D sport+games,each,4072.0,3461.2,0.9004,dims_scaled,203710.16,203710.16,0.5205,,363283.12,10210.15,8771.19,13036.43,20299.52,15561.61,11982.44
4soft-j3-02a-20,J3-02A-20,LUDO big 3D - square,3D,J-3D sport+games,each,5540.0,4709.0,1.2833,dims_scaled,271288.29,271288.29,0.4883,,483797.45,13597.22,11680.91,17361.1,28932.0,21303.17,16403.44
4soft-k1-01a-05,K1-01A-05,3D Turtle,3D,K-3D animals,each,968.0,822.8,0.074,dims_scaled,60374.89,60374.89,0.8957,,107668.55,3026.05,2599.57,3863.69,1668.33,3383.59,2605.37
4soft-k1-01b-05,K1-01B-05,3D Turtle MINI,3D,K-3D animals,each,630.0,535.5,0.0,flat_uplift,33165.19,32936.14,0.6,floored,59144.59,1662.27,1428.0,2122.41,7254.884385000001,2798.31,2154.7
4soft-k1-02a-09,K1-02A-09,3D Sea star,3D,K-3D animals,each,584.0,496.4,0.0363,dims_scaled,44355.15,44355.15,1.3084,,79100.02,2223.12,1909.81,2838.51,818.38,2022.53,1557.35
4soft-k1-02b-09,K1-02B-09,3D Sea star MINI,3D,K-3D animals,each,520.0,442.0,0.0,flat_uplift,30796.24,27185.38,0.8,floored,54919.96,1543.54,1326.0,1970.81,5988.15854,2309.72,1778.48
4soft-k1-03a-04,K1-03A-04,3D Head of crocodile,3D,K-3D animals,each,864.0,734.4,0.0445,dims_scaled,55524.35,55524.35,0.9532,,99018.42,2782.93,2390.72,3553.28,1003.25,2971.48,2288.04
4soft-k1-04a-11,K1-04A-11,3D Whale,3D,K-3D animals,each,1756.0,1492.6,0.2296,dims_scaled,95324.75,95324.75,0.6499,,169995.8,4777.77,4104.42,6100.31,5176.33,6352.99,4891.81
4soft-k1-05a-61uv,K1-05A-61UV,3D Miss Hippo,3D,K-3D animals,each,991.0,842.35,0.0323,dims_scaled,60167.95,60167.95,0.8453,,107299.51,3015.67,2590.66,3850.45,728.2,3366.01,2591.83
4soft-k1-05b-61uv,K1-05B-61UV,3D Miss Hippo with body (set of 2 pcs),3D,K-3D animals,set,1693.0,1439.05,0.0,flat_uplift,89124.86,88509.34,0.6,floored,158939.33,4467.02,3837.47,5703.55,19496.062323500002,7519.91,5790.33
4soft-k1-06a-61uv,K1-06A-61UV,3D Shark,3D,K-3D animals,each,1251.0,1063.35,0.1016,dims_scaled,72176.21,72176.21,0.7535,,128714.24,3617.54,3107.71,4618.92,2290.57,4386.25,3377.42
4soft-k1-07a-20,K1-07A-20,3D Crocodile - half balls (2D legs),3D,K-3D animals,each,3215.0,2732.75,0.7722,dims_scaled,166788.58,166788.58,0.5768,,297439.63,8359.6,7181.45,10673.64,17409.25,12424.69,9567.01
