crawl_sku,crawl_name,crawl_url,crawl_category,match_handle,match_title,match_status,match_score,match_basis,no_match_reason
shock-absorber-w-adjustable-foot,ShockDeck™ - Shock absorber w. adjustable foot,https://rampline.com/en/product/shockdeck/,surfacing,rampline-shockdeck,ShockDeck,published,1.0,slug:shockdeck↔shockdeck,
shock-absorber-excl-foot,ShockDeck™ - Shock absorber excl. foot,https://rampline.com/en/product/shockdeck/,surfacing,rampline-shockdeck,ShockDeck,published,1.0,slug:shockdeck↔shockdeck,
expansion-bolt-for-fixed-egde-8mm-x-95mm,"ShockDeck™ - Expansion bolt for fixed egde, 8mm x 95mm",https://rampline.com/en/product/shockdeck/,surfacing,rampline-shockdeck,ShockDeck,published,1.0,slug:shockdeck↔shockdeck,
23485,Floating Bench™ (Lighting Not Included),https://rampline.com/en/product/floating-bench/,balance,rampline-floating-bench,Floating Bench,published,1.0,slug:floating-bench↔floating-bench,
23488,Floating Bench™ (Lighting Included),https://rampline.com/en/product/floating-bench/,balance,rampline-floating-bench,Floating Bench,published,1.0,slug:floating-bench↔floating-bench,
jane-jump-for-grass-or-loose-fills,JANE JUMP - For Grass or loose fills,https://rampline.com/en/product/jane-jump/,motor-skill-park,rampline-jane-jump,JANE JUMP,published,1.0,slug:jane-jump↔jane-jump,
jane-jump-for-wet-pour,JANE JUMP - For Wet pour,https://rampline.com/en/product/jane-jump/,motor-skill-park,rampline-jane-jump,JANE JUMP,published,1.0,slug:jane-jump↔jane-jump,
jane-jump-for-artificial-grass,JANE JUMP - For Artificial grass,https://rampline.com/en/product/jane-jump/,motor-skill-park,rampline-jane-jump,JANE JUMP,published,1.0,slug:jane-jump↔jane-jump,
jane-jump-for-shockdeck,JANE JUMP - For ShockDeck™,https://rampline.com/en/product/jane-jump/,motor-skill-park,rampline-jane-jump,JANE JUMP,published,1.0,slug:jane-jump↔jane-jump,
trip-for-shockdeck,TRIP,https://rampline.com/en/product/trip/,motor-skill-park,rampline-trip,TRIP,published,1.0,slug:trip↔trip,
trip-for-artificial-grass,TRIP,https://rampline.com/en/product/trip/,motor-skill-park,rampline-trip,TRIP,published,1.0,slug:trip↔trip,
trip-for-grass-or-loose-fills,TRIP,https://rampline.com/en/product/trip/,motor-skill-park,rampline-trip,TRIP,published,1.0,slug:trip↔trip,
trip-for-wet-pour,TRIP,https://rampline.com/en/product/trip/,motor-skill-park,rampline-trip,TRIP,published,1.0,slug:trip↔trip,
flight-shockdeck,FLIGHT (for ShockDeck™),https://rampline.com/en/product/flight/,motor-skill-park,rampline-flight,FLIGHT,published,1.0,slug:flight↔flight,
flight-artificial-grass,FLIGHT (for Artificial grass),https://rampline.com/en/product/flight/,motor-skill-park,rampline-flight,FLIGHT,published,1.0,slug:flight↔flight,
flight-grass-or-loose-fills,FLIGHT (for Grass or loose fills),https://rampline.com/en/product/flight/,motor-skill-park,rampline-flight,FLIGHT,published,1.0,slug:flight↔flight,
flight-wet-pour,FLIGHT (for Wet pour),https://rampline.com/en/product/flight/,motor-skill-park,rampline-flight,FLIGHT,published,1.0,slug:flight↔flight,
shock-absorber,ShockDeck™ - Shock absorber excl. foot,http://rampline.com/en/product/shockdeck,surfacing,rampline-shockdeck,ShockDeck,published,1.0,slug:shockdeck↔shockdeck,
24536,CLASSIC JUMP (for Grass or loose fills),https://rampline.com/en/product/classic-jump/,motor-skill-park,rampline-classic-jump,CLASSIC JUMP,published,1.0,slug:classic-jump↔classic-jump,
24537,CLASSIC JUMP (for Wet pour),https://rampline.com/en/product/classic-jump/,motor-skill-park,rampline-classic-jump,CLASSIC JUMP,published,1.0,slug:classic-jump↔classic-jump,
25874,CLASSIC JUMP (for Artificial grass),https://rampline.com/en/product/classic-jump/,motor-skill-park,rampline-classic-jump,CLASSIC JUMP,published,1.0,slug:classic-jump↔classic-jump,
36491,CLASSIC JUMP (for ShockDeck™),https://rampline.com/en/product/classic-jump/,motor-skill-park,rampline-classic-jump,CLASSIC JUMP,published,1.0,slug:classic-jump↔classic-jump,
bounce-for-shockdeck,BOUNCE,https://rampline.com/en/product/bounce/,motor-skill-park,rampline-bounce,BOUNCE,published,1.0,slug:bounce↔bounce,
bounce-for-artificial-grass,BOUNCE,https://rampline.com/en/product/bounce/,motor-skill-park,rampline-bounce,BOUNCE,published,1.0,slug:bounce↔bounce,
bounce-for-grass-or-loose-fills,BOUNCE,https://rampline.com/en/product/bounce/,motor-skill-park,rampline-bounce,BOUNCE,published,1.0,slug:bounce↔bounce,
bounce-for-wet-pour,BOUNCE,https://rampline.com/en/product/bounce/,motor-skill-park,rampline-bounce,BOUNCE,published,1.0,slug:bounce↔bounce,
fearless-artificial-grass,FEARLESS (Artificial grass),https://rampline.com/en/product/fearless/,motor-skill-park,rampline-fearless,FEARLESS,published,1.0,slug:fearless↔fearless,
fearless-grass-or-loose-fills,FEARLESS (Grass or loose fills),https://rampline.com/en/product/fearless/,motor-skill-park,rampline-fearless,FEARLESS,published,1.0,slug:fearless↔fearless,
fearless-wet-pour,FEARLESS (Wet pour),https://rampline.com/en/product/fearless/,motor-skill-park,rampline-fearless,FEARLESS,published,1.0,slug:fearless↔fearless,
fearless-shockdeck,FEARLESS (ShockDeck™),https://rampline.com/en/product/fearless/,motor-skill-park,rampline-fearless,FEARLESS,published,1.0,slug:fearless↔fearless,
24500,FAST and CURIOUS,https://rampline.com/en/product/fast-and-curious/,motor-skill-park,rampline-fast-and-curious,FAST and CURIOUS,published,1.0,slug:fast-and-curious↔fast-and-curious,
24501,FAST and CURIOUS,https://rampline.com/en/product/fast-and-curious/,motor-skill-park,rampline-fast-and-curious,FAST and CURIOUS,published,1.0,slug:fast-and-curious↔fast-and-curious,
25860,FAST and CURIOUS,https://rampline.com/en/product/fast-and-curious/,motor-skill-park,rampline-fast-and-curious,FAST and CURIOUS,published,1.0,slug:fast-and-curious↔fast-and-curious,
36513,FAST and CURIOUS,https://rampline.com/en/product/fast-and-curious/,motor-skill-park,rampline-fast-and-curious,FAST and CURIOUS,published,1.0,slug:fast-and-curious↔fast-and-curious,
24522-24527,CLIFFHANGER,https://rampline.com/en/product/cliffhanger/,motor-skill-park,rampline-cliffhanger,CLIFFHANGER,published,1.0,slug:cliffhanger↔cliffhanger,
24522-24528,CLIFFHANGER,https://rampline.com/en/product/cliffhanger/,motor-skill-park,rampline-cliffhanger,CLIFFHANGER,published,1.0,slug:cliffhanger↔cliffhanger,
24522-25871,CLIFFHANGER,https://rampline.com/en/product/cliffhanger/,motor-skill-park,rampline-cliffhanger,CLIFFHANGER,published,1.0,slug:cliffhanger↔cliffhanger,
24522-36495,CLIFFHANGER,https://rampline.com/en/product/cliffhanger/,motor-skill-park,rampline-cliffhanger,CLIFFHANGER,published,1.0,slug:cliffhanger↔cliffhanger,
impact-for-shockdeck,IMPACT (for ShockDeck™),https://rampline.com/en/product/impact/,motor-skill-park,rampline-impact,IMPACT,published,1.0,slug:impact↔impact,
impact-for-grass-or-loose-fills,IMPACT (for Grass or loose fills),https://rampline.com/en/product/impact/,motor-skill-park,rampline-impact,IMPACT,published,1.0,slug:impact↔impact,
impact-for-wet-pour-or-artificial-grass,IMPACT (for Wet pour or artificial grass),https://rampline.com/en/product/impact/,motor-skill-park,rampline-impact,IMPACT,published,1.0,slug:impact↔impact,
24473,HUNTING HIGH and LOW (for Grass or loose fills),https://rampline.com/en/product/hunting-high-and-low/,motor-skill-park,rampline-hunting-high-and-low,HUNTING HIGH and LOW,published,1.0,slug:hunting-high-and-low↔hunting-high-and-low,
24474,HUNTING HIGH and LOW (for Wet pour),https://rampline.com/en/product/hunting-high-and-low/,motor-skill-park,rampline-hunting-high-and-low,HUNTING HIGH and LOW,published,1.0,slug:hunting-high-and-low↔hunting-high-and-low,
25853,HUNTING HIGH and LOW (for Artificial grass),https://rampline.com/en/product/hunting-high-and-low/,motor-skill-park,rampline-hunting-high-and-low,HUNTING HIGH and LOW,published,1.0,slug:hunting-high-and-low↔hunting-high-and-low,
36530,HUNTING HIGH and LOW (for ShockDeck™),https://rampline.com/en/product/hunting-high-and-low/,motor-skill-park,rampline-hunting-high-and-low,HUNTING HIGH and LOW,published,1.0,slug:hunting-high-and-low↔hunting-high-and-low,
crouching-tiger-wet-pour-or-shockdeck,CROUCHING TIGER - Wet pour or ShockDeck™,https://rampline.com/en/product/crouching-tiger/,motor-skill-park,rampline-crouching-tiger,CROUCHING TIGER,published,1.0,slug:crouching-tiger↔crouching-tiger,
crouching-tiger-grass-or-loose-fills,CROUCHING TIGER - Grass or loose fills,https://rampline.com/en/product/crouching-tiger/,motor-skill-park,rampline-crouching-tiger,CROUCHING TIGER,published,1.0,slug:crouching-tiger↔crouching-tiger,
crouching-tiger-artificial-grass,CROUCHING TIGER - Artificial grass,https://rampline.com/en/product/crouching-tiger/,motor-skill-park,rampline-crouching-tiger,CROUCHING TIGER,published,1.0,slug:crouching-tiger↔crouching-tiger,
agile-artificial-grass,AGILE - Artificial grass,https://rampline.com/en/product/agile/,motor-skill-park,rampline-agile,AGILE,published,1.0,slug:agile↔agile,
agile-grass-or-loose-fills,AGILE - Grass or loose fills,https://rampline.com/en/product/agile/,motor-skill-park,rampline-agile,AGILE,published,1.0,slug:agile↔agile,
agile-wet-pour-or-shockdeck,AGILE - Wet pour or ShockDeck™,https://rampline.com/en/product/agile/,motor-skill-park,rampline-agile,AGILE,published,1.0,slug:agile↔agile,
25795,TAKE 5,https://rampline.com/en/product/take-5/,motor-skill-park,rampline-take-5,TAKE 5,published,1.0,slug:take-5↔take-5,
24343,TAKE 5,https://rampline.com/en/product/take-5/,motor-skill-park,rampline-take-5,TAKE 5,published,1.0,slug:take-5↔take-5,
24344,TAKE 5,https://rampline.com/en/product/take-5/,motor-skill-park,rampline-take-5,TAKE 5,published,1.0,slug:take-5↔take-5,
36566,TAKE 5,https://rampline.com/en/product/take-5/,motor-skill-park,rampline-take-5,TAKE 5,published,1.0,slug:take-5↔take-5,
24419,MONKEY BUSINESS,https://rampline.com/en/product/monkey-business/,motor-skill-park,rampline-monkey-business,MONKEY BUSINESS,published,1.0,slug:monkey-business↔monkey-business,
24420,MONKEY BUSINESS,https://rampline.com/en/product/monkey-business/,motor-skill-park,rampline-monkey-business,MONKEY BUSINESS,published,1.0,slug:monkey-business↔monkey-business,
junior-power-ii-grass-or-loose-fills,JUNIOR POWER II - For Grass or loose fills,https://rampline.com/en/product/junior-power-ii/,motor-skill-park,rampline-junior-power-ii,JUNIOR POWER II,published,1.0,slug:junior-power-ii↔junior-power-ii,
junior-power-ii-wet-pour-or-shockdeck,JUNIOR POWER II - For Wet pour or ShockDeck™,https://rampline.com/en/product/junior-power-ii/,motor-skill-park,rampline-junior-power-ii,JUNIOR POWER II,published,1.0,slug:junior-power-ii↔junior-power-ii,
junior-power-ii-artificial-grass,JUNIOR POWER II - For Artificial grass,https://rampline.com/en/product/junior-power-ii/,motor-skill-park,rampline-junior-power-ii,JUNIOR POWER II,published,1.0,slug:junior-power-ii↔junior-power-ii,
24455,JUNIOR POWER (For Grass or loose fills),https://rampline.com/en/product/junior-power/,motor-skill-park,rampline-junior-power,JUNIOR POWER,published,1.0,slug:junior-power↔junior-power,
24456,JUNIOR POWER (For Wet pour or ShockDeck™),https://rampline.com/en/product/junior-power/,motor-skill-park,rampline-junior-power,JUNIOR POWER,published,1.0,slug:junior-power↔junior-power,
25843,JUNIOR POWER (For Artificial grass),https://rampline.com/en/product/junior-power/,motor-skill-park,rampline-junior-power,JUNIOR POWER,published,1.0,slug:junior-power↔junior-power,
26199,SKILL,https://rampline.com/en/product/skill/,motor-skill-park,rampline-skill,SKILL,published,1.0,slug:skill↔skill,
26201,SKILL,https://rampline.com/en/product/skill/,motor-skill-park,rampline-skill,SKILL,published,1.0,slug:skill↔skill,
26202,SKILL,https://rampline.com/en/product/skill/,motor-skill-park,rampline-skill,SKILL,published,1.0,slug:skill↔skill,
rock-artificial-grass,ROCK,https://rampline.com/en/product/rock/,motor-skill-park,rampline-rock,ROCK,published,1.0,slug:rock↔rock,
rock-grass-or-loose-fills,ROCK,https://rampline.com/en/product/rock/,motor-skill-park,rampline-rock,ROCK,published,1.0,slug:rock↔rock,
rock-wet-pour-or-shockdeck,ROCK,https://rampline.com/en/product/rock/,motor-skill-park,rampline-rock,ROCK,published,1.0,slug:rock↔rock,
26353,TWIST,https://rampline.com/en/product/twist/,motor-skill-park,rampline-twist,TWIST,published,1.0,slug:twist↔twist,
26354,TWIST,https://rampline.com/en/product/twist/,motor-skill-park,rampline-twist,TWIST,published,1.0,slug:twist↔twist,
26355,TWIST,https://rampline.com/en/product/twist/,motor-skill-park,rampline-twist,TWIST,published,1.0,slug:twist↔twist,
power-for-artificial-grass,POWER (For Artificial grass),https://rampline.com/en/product/power/,motor-skill-park,rampline-power,POWER,published,1.0,slug:power↔power,
power-for-grass-or-loose-fills,POWER (For Grass or loose fills),https://rampline.com/en/product/power/,motor-skill-park,rampline-power,POWER,published,1.0,slug:power↔power,
power-for-wet-pour-or-shockdeck,POWER (For Wet pour or ShockDeck™),https://rampline.com/en/product/power/,motor-skill-park,rampline-power,POWER,published,1.0,slug:power↔power,
dynamic-grass-or-loose-fills,DYNAMIC,https://rampline.com/en/product/dynamic/,motor-skill-park,rampline-dynamic,DYNAMIC,published,1.0,slug:dynamic↔dynamic,
dynamic-wet-pour-or-artificial-grass,DYNAMIC,https://rampline.com/en/product/dynamic/,motor-skill-park,rampline-dynamic,DYNAMIC,published,1.0,slug:dynamic↔dynamic,
dynamic-shockdeck,DYNAMIC,https://rampline.com/en/product/dynamic/,motor-skill-park,rampline-dynamic,DYNAMIC,published,1.0,slug:dynamic↔dynamic,
juice-grass-or-loose-fills,JUICE (Grass or loose fills),https://rampline.com/en/product/juice/,motor-skill-park,rampline-juice,JUICE,published,1.0,slug:juice↔juice,
juice-shockdeck,JUICE (ShockDeck™),https://rampline.com/en/product/juice/,motor-skill-park,rampline-juice,JUICE,published,1.0,slug:juice↔juice,
juice-wet-pour-or-artificial-grass,JUICE (Wet pour or artificial grass),https://rampline.com/en/product/juice/,motor-skill-park,rampline-juice,JUICE,published,1.0,slug:juice↔juice,
36477,ABILITY - ShockDeck™,https://rampline.com/en/product/ability/,motor-skill-park,rampline-ability,ABILITY,published,1.0,slug:ability↔ability,
26463,ABILITY - Grass or loose fills,https://rampline.com/en/product/ability/,motor-skill-park,rampline-ability,ABILITY,published,1.0,slug:ability↔ability,
26464,"ABILITY - Wet pour, artificial grass or ShockDeck™",https://rampline.com/en/product/ability/,motor-skill-park,rampline-ability,ABILITY,published,1.0,slug:ability↔ability,
26471,GRIP (for Grass or loose fills),https://rampline.com/en/product/grip/,motor-skill-park,rampline-grip,GRIP,published,1.0,slug:grip↔grip,
26472,"GRIP (for Wet pour, artificial grass or ShockDeck™)",https://rampline.com/en/product/grip/,motor-skill-park,rampline-grip,GRIP,published,1.0,slug:grip↔grip,
26518,SPEED,https://rampline.com/en/product/speed/,motor-skill-park,rampline-speed,SPEED,published,1.0,slug:speed↔speed,
26519,SPEED,https://rampline.com/en/product/speed/,motor-skill-park,rampline-speed,SPEED,published,1.0,slug:speed↔speed,
26520,SPEED,https://rampline.com/en/product/speed/,motor-skill-park,rampline-speed,SPEED,published,1.0,slug:speed↔speed,
slakklinesystem,Slakklinesystem,,slackline,,,,0.485,,no_match
rampball-street-standard-eng,Rampball Street standard ENG,https://rampline.com/en/product/rampball-street/,other,rampline-rampball,Rampball,published,0.85,slug:rampball-street↔rampball,
,,,,rampline-rampit,Rampit,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampit-swing,Rampit TWIN,published,0.0,,medusa_only_no_crawl
,,,,rampline-trampoline-loop-en,Playground Loop,published,0.0,,medusa_only_no_crawl
,,,,rampline-jumpstone-en,Jumpstone,published,0.0,,medusa_only_no_crawl
,,,,rampline-balancebuddy-en,BalanceBuddy,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampit-storm-en,Rampit Storm,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampline-slackline,Rampline slackline,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampit-hopper,Rampit Hopper,published,0.0,,medusa_only_no_crawl
,,,,rampline-balancebuddy-wave,Balancebuddy Wave,published,0.0,,medusa_only_no_crawl
,,,,rampline-fungi-eng,Fungi,published,0.0,,medusa_only_no_crawl
,,,,rampline-dont-step-into-the-water,Don’T STEP INTO THE WATER,published,0.0,,medusa_only_no_crawl
,,,,rampline-triple-slack-fun,TRIPLE SLACK FUN,published,0.0,,medusa_only_no_crawl
,,,,rampline-the-floor-is-lava,THE FLOOR IS LAVA,published,0.0,,medusa_only_no_crawl
,,,,rampline-pulse-zone,PULSE ZONE,published,0.0,,medusa_only_no_crawl
,,,,rampline-play-tag,PLAY TAG,published,0.0,,medusa_only_no_crawl
,,,,rampline-never-stop-playing,NEVER STOP PLAYING,published,0.0,,medusa_only_no_crawl
,,,,rampline-marathon-play,MARATHON PLAY,published,0.0,,medusa_only_no_crawl
,,,,rampline-kangaroo,KANGAROO,published,0.0,,medusa_only_no_crawl
,,,,rampline-defying-gravity,DEFYING GRAVITY,published,0.0,,medusa_only_no_crawl
,,,,rampline-all-in,ALL IN,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampbow,Rampbow,published,0.0,,medusa_only_no_crawl
,,,,rampline-go,GO,published,0.0,,medusa_only_no_crawl
,,,,rampline-flex-forest,FLEX FOREST,published,0.0,,medusa_only_no_crawl
,,,,rampline-double-trouble,DOUBLE TROUBLE,published,0.0,,medusa_only_no_crawl
,,,,rampline-spare-parts-for-slackline,Spare parts Rampline,published,0.0,,medusa_only_no_crawl
,,,,rampline-spare-parts-kids-tramp-playground-loop,spare parts KIDS TRAMP TRAMPOLINES,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampball-35,Rampball 35,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampball-50,Rampball 50,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampball-50r,Rampball 50R,published,0.0,,medusa_only_no_crawl
,,,,rampline-rampball-70r,Rampball 70R,published,0.0,,medusa_only_no_crawl
,,,,rampline-jumpstone-en-27,Jumpstone 27,published,0.0,,medusa_only_no_crawl
,,,,rampline-jumpstone-en-50,Jumpstone 50,published,0.0,,medusa_only_no_crawl
,,,,rampline-jumpstone-en-3,Jumpstone 3,published,0.0,,medusa_only_no_crawl
,,,,rampline-jumpstone-en-5,Jumpstone 5,published,0.0,,medusa_only_no_crawl
