family,family_discount,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,group,n_variants,option_titles,variant_titles,article_codes,decision
"Balance beam, with shock absorbing natural rubber padding",0.30,rampline-balancebuddy-en,BalanceBuddy,rampline-balancebuddy-en,BalanceBuddy,,A-equipment,6,Length|Style,216 cm / Slanted (wet pour)|216 cm / Straight (loose fills)|216 cm / Straight (wet pour)|316 cm / Slanted (wet pour)|316 cm / Straight (loose fills)|316 cm / Straight (wet pour),BB216R|BB216R EXT|BB216S|BB316R|BB316R EXT|BB316S,
Climbing mushrooms,0.30,rampline-fungi-eng,Fungi,rampline-fungi-eng,Fungi,,A-equipment,3,Size,3 stems (wet pour)|5 stems (loose fills)|5 stems (wet pour),F3 1002|F5 1002|F5 EXT 1002,
"Fully welded, and powdercoated activity bars and turning pads",0.30,rampline-rampit-hopper,Rampit Hopper,rampline-rampit-hopper,Rampit Hopper,,A-equipment,6,Component|Surface,Activity bars / Loose fills|Activity bars / Wet pour|Rack / Loose fills|Rack / Wet pour|Turning pads / Loose fills|Turning pads / Wet pour,4561 1002|4561 EXT 1002|4561 EXT-1 1002|4561-1 1002|4562 1002 E|4562 EXT 1002 E,
"Fully welded, and powdercoated activity rack",0.30,rampline-rampit,Rampit,rampline-rampit,Rampit,,A-equipment,3,Size,120 cm|150 cm|85 cm,4552 6011|4553 6011|4554 9001,
"Fully welded, and powdercoated gim barr",0.30,rampline-rampit-swing,Rampit TWIN,rampline-rampit-swing,Rampit TWIN,,A-equipment,2,Size,200 cm|220 cm,4551 9001|4551 EXT,
"Individually adapted bench that floats and rolls through the landscape, inspiring the user to creative physical movements",0.15,rampline-floating-bench,Floating Bench,rampline-floating-bench,Floating Bench,,A-equipment,4,Type,Bench|Customization / site adaptation|LED strip (per meter)|Rigging & operation,FB33|FB33-1|FB33-2|FB33LED,
Natural rubber jump pads with a rough surface.,0.30,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-27,Jumpstone 27,27,A-equipment,4,Surface,Artificial grass|Grass|Loose fills|Wet pour,JS27|JS27 AG|JS27 G|JS27 LF,
Natural rubber jump pads with a rough surface.,0.30,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-3,Jumpstone 3,3,A-equipment,4,Surface,Artificial grass|Grass|Loose fills|Wet pour,JS3|JS3 AG|JS3 G|JS3 LF,
Natural rubber jump pads with a rough surface.,0.30,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-5,Jumpstone 5,5,A-equipment,4,Surface,Artificial grass|Grass|Loose fills|Wet pour,JS5|JS5 AG|JS5 G|JS5 LF,
Natural rubber jump pads with a rough surface.,0.30,rampline-jumpstone-en,Jumpstone,rampline-jumpstone-en-50,Jumpstone 50,50,A-equipment,4,Surface,Artificial grass|Grass|Loose fills|Wet pour,JS50|JS50 AG|JS50 G|JS50 LF,
