row,sku,description,family,family_discount,group,parent_handle,parent_title,sub_product_handle,sub_product_title,size_slug,size_label,options_flat,variant_sku,variant_title,recommended_nok,net_nok,unmapped,error
5,RB35,"Rampball® 35 for wet pour surfaces | ø 35 cm, tilting.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-35,Rampball 35,35,Rampball 35,Surface=wet_pour:Wet pour,RB35,Wet pour,19871.0,13909.7,,
6,RB35 AG,"Rampball® 35 for artificial grass | ø 35 cm, tilting. incl. PETG mounting ring.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-35,Rampball 35,35,Rampball 35,Surface=artificial_grass:Artificial grass,RB35 AG,Artificial grass,21055.0,14738.5,,
7,RB35 G,"Rampball® 35 for grass | ø 35 cm, tilting. incl mounting bracket for 21,5 cm depth.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-35,Rampball 35,35,Rampball 35,Surface=grass:Grass,RB35 G,Grass,23063.0,16144.1,,
8,RB35 LF,"Rampball® 35 for loose fills | ø 35 cm, tilting. incl mounting bracket for 30 cm depth.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-35,Rampball 35,35,Rampball 35,Surface=loose_fills:Loose fills,RB35 LF,Loose fills,23063.0,16144.1,,
9,RB50,"Rampball® 50 for wet pour surfaces | ø 50 cm, tilting.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50,Rampball 50,50,Rampball 50,Surface=wet_pour:Wet pour,RB50,Wet pour,26108.0,18275.6,,
10,RB50 AG,"Rampball® 50 for artificial grass | ø 50 cm, tilting. incl. PETG mounting ring.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50,Rampball 50,50,Rampball 50,Surface=artificial_grass:Artificial grass,RB50 AG,Artificial grass,27292.0,19104.4,,
11,RB50 G,"Rampball® 50 for grass | ø 50 cm, tilting. incl mounting bracket for 21,5 cm depth.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50,Rampball 50,50,Rampball 50,Surface=grass:Grass,RB50 G,Grass,29300.0,20510.0,,
12,RB50 LF,"Rampball® 50 for loose fills | ø 50 cm, tilting. incl mounting bracket for 30 cm depth.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50,Rampball 50,50,Rampball 50,Surface=loose_fills:Loose fills,RB50 LF,Loose fills,29300.0,20510.0,,
13,RB50R,"Rampball® 50R for wet pour surfaces | ø 50 cm, tilting and rotating.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50r,Rampball 50R,50r,Rampball 50R,Surface=wet_pour:Wet pour,RB50R,Wet pour,32346.0,22642.2,,
14,RB50R AG,"Rampball® 50R for artificial grass | ø 50 cm, tilting and rotating. incl. PETG mounting ring.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50r,Rampball 50R,50r,Rampball 50R,Surface=artificial_grass:Artificial grass,RB50R AG,Artificial grass,33530.0,23471.0,,
15,RB50R G,"Rampball® 50R for grass | ø 50 cm, tilting and rotating. incl mounting bracket for 21,5 cm depth.",Tilting and rotating balance balls,0.3,A-equipment,rampline-rampball,Rampball,rampline-rampball-50r,Rampball 50R,50r,Rampball 50R,Surface=grass:Grass,RB50R G,Grass,35538.0,24876.6,,
