item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,retail_sgd,freight_thb,duty_thb,vat_thb,note,family,family_discount,recommended_nok,net_nok,description
RB35,1293.4212739,False,flat_uplift,0.0,flat_uplift,79999.45,79446.95,0.6,floored,122284.87,3429.66,2956.39,4389.67,17499.87989505873,6749.95,5197.46,,Tilting and rotating balance balls,0.3,19871.0,13909.7,"Rampball® 35 for wet pour surfaces | ø 35 cm, tilting."
RB35 AG,1370.4888995000001,False,flat_uplift,0.0,flat_uplift,84766.16,84180.75,0.6,floored,129571.13,3634.02,3132.55,4651.22,18542.598318678545,7152.15,5507.15,,Tilting and rotating balance balls,0.3,21055.0,14738.5,"Rampball® 35 for artificial grass | ø 35 cm, tilting. incl. PETG mounting ring."
RB35 G,1501.1914267,False,flat_uplift,0.0,flat_uplift,92850.25,92209.0,0.6,floored,141928.24,3980.59,3431.29,5094.8,20310.99240197974,7834.24,6032.36,,Tilting and rotating balance balls,0.3,23063.0,16144.1,"Rampball® 35 for grass | ø 35 cm, tilting. incl mounting bracket for 21,5 cm depth."
RB35 LF,1501.1914267,False,flat_uplift,0.0,flat_uplift,92850.25,92209.0,0.6,floored,141928.24,3980.59,3431.29,5094.8,20310.99240197974,7834.24,6032.36,,Tilting and rotating balance balls,0.3,23063.0,16144.1,"Rampball® 35 for loose fills | ø 35 cm, tilting. incl mounting bracket for 30 cm depth."
RB50,1699.3932172,False,flat_uplift,0.0,flat_uplift,105109.24,104383.33,0.6,floored,160666.98,4506.15,3884.33,5767.47,22992.645780292543,8868.59,6828.82,,Tilting and rotating balance balls,0.3,26108.0,18275.6,"Rampball® 50 for wet pour surfaces | ø 50 cm, tilting."
RB50 AG,1776.4608428000001,False,flat_uplift,0.0,flat_uplift,109875.95,109117.11,0.6,floored,167953.24,4710.5,4060.48,6029.02,24035.364203912366,9270.78,7138.5,,Tilting and rotating balance balls,0.3,27292.0,19104.4,"Rampball® 50 for artificial grass | ø 50 cm, tilting. incl. PETG mounting ring."
RB50 G,1907.16337,False,flat_uplift,0.0,flat_uplift,117960.04,117145.38,0.6,floored,180310.35,5057.07,4359.23,6472.61,25803.758287213554,9952.88,7663.72,,Tilting and rotating balance balls,0.3,29300.0,20510.0,"Rampball® 50 for grass | ø 50 cm, tilting. incl mounting bracket for 21,5 cm depth."
RB50 LF,1907.16337,False,flat_uplift,0.0,flat_uplift,117960.04,117145.38,0.6,floored,180310.35,5057.07,4359.23,6472.61,25803.758287213554,9952.88,7663.72,,Tilting and rotating balance balls,0.3,29300.0,20510.0,"Rampball® 50 for loose fills | ø 50 cm, tilting. incl mounting bracket for 30 cm depth."
RB50R,2105.4302514,False,flat_uplift,0.0,flat_uplift,129323.7,129323.7,0.589,,197680.51,5544.25,4779.18,7096.15,28486.292339870648,10987.57,8460.43,,Tilting and rotating balance balls,0.3,32346.0,22642.2,"Rampball® 50R for wet pour surfaces | ø 50 cm, tilting and rotating."
RB50R AG,2182.497877,False,flat_uplift,0.0,flat_uplift,134057.49,134057.49,0.5889,,204916.45,5747.19,4954.11,7355.89,29529.010763490456,11389.76,8770.12,,Tilting and rotating balance balls,0.3,33530.0,23471.0,"Rampball® 50R for artificial grass | ø 50 cm, tilting and rotating. incl. PETG mounting ring."
RB50R G,2313.2004042,False,flat_uplift,0.0,flat_uplift,142085.75,142085.75,0.589,,217188.22,6091.37,5250.8,7796.41,31297.404846791644,12071.86,9295.33,,Tilting and rotating balance balls,0.3,35538.0,24876.6,"Rampball® 50R for grass | ø 50 cm, tilting and rotating. incl mounting bracket for 21,5 cm depth."
RB50R LF,2313.2004042,False,flat_uplift,0.0,flat_uplift,142085.75,142085.75,0.589,,217188.22,6091.37,5250.8,7796.41,31297.404846791644,12071.86,9295.33,,Tilting and rotating balance balls,0.3,35538.0,24876.6,"Rampball® 50R for loose fills | ø 50 cm, tilting and rotating. incl mounting bracket for 30 cm depth."
RB70R,2946.4046794,False,flat_uplift,0.0,flat_uplift,180979.62,180979.62,0.589,,276640.28,7758.79,6688.13,9930.57,39864.60486788428,15376.35,11839.79,,Tilting and rotating balance balls,0.3,45266.0,31686.2,"Rampball® 70R for wet pour surfaces | ø 70 cm, tilting and rotating."
RB70R AG,3034.7981216,False,flat_uplift,0.0,flat_uplift,186409.08,186409.08,0.589,,284939.59,7991.56,6888.77,10228.49,41060.56062740767,15837.64,12194.99,,Tilting and rotating balance balls,0.3,46624.0,32636.8,"Rampball® 70R for artificial grass | ø 70 cm, tilting and rotating. incl. PETG mounting ring."
RB70R G,3154.1748322,False,flat_uplift,0.0,flat_uplift,193741.66,193741.66,0.5889,,296147.97,8305.91,7159.75,10630.84,42675.717374805274,16460.63,12674.69,,Tilting and rotating balance balls,0.3,48458.0,33920.6,"Rampball® 70R for grass | ø 70 cm, tilting and rotating. incl mounting bracket for 21,5 cm depth."
RB70R LF,3154.1748322,False,flat_uplift,0.0,flat_uplift,193741.66,193741.66,0.5889,,296147.97,8305.91,7159.75,10630.84,42675.717374805274,16460.63,12674.69,,Tilting and rotating balance balls,0.3,48458.0,33920.6,"Rampball® 70R for loose fills | ø 70 cm, tilting and rotating. incl mounting bracket for 30 cm depth."
RL410,2553.3858252,False,flat_uplift,0.0,flat_uplift,156838.87,156838.87,0.589,,239739.42,6723.85,5796.0,8605.94,34547.093177160874,13325.31,10260.49,,Slack line rack with padded ramps and dynamic line,0.3,39228.0,27459.6,Rampline® slack line | for wet pour surfaces or artificial grass.
RL410 EXT,2825.6610599,False,flat_uplift,0.0,flat_uplift,173563.07,173563.07,0.589,,265303.55,7440.84,6414.05,9523.61,38230.95395925692,14746.23,11354.59,,Slack line rack with padded ramps and dynamic line,0.3,43411.0,30387.7,Rampline® slack line extended | For grass and loose fills.
JS27,834.0097017,True,airfreight_weight,0.0,airfreight_weight,64761.22,64761.22,1.0087,,98992.15,2776.38,2393.26,3553.53,5000,3756.26,2892.32,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,12813.0,8969.1,Jumpstone™ 27 for wet pour surfaces | ø 27 cm
JS27 AG,911.0773273,True,airfreight_weight,0.0,airfreight_weight,68302.8,68302.8,0.9394,,104405.71,2928.21,2524.14,3747.86,5000,4057.16,3124.01,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,13997.0,9797.9,Jumpstone™ 27 for artificial grass | ø 27 cm. incl. PETG mounting ring
JS27 G,1041.7798545,True,airfreight_weight,0.0,airfreight_weight,74309.12,74309.12,0.8452,,113586.8,3185.71,2746.1,4077.43,5000,4567.47,3516.95,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,16005.0,11203.5,"Jumpstone™ 27 for grass | ø 27 cm. incl mounting bracket for 21,5 cm depth"
JS27 LF,1041.7798545,True,airfreight_weight,0.0,airfreight_weight,74309.12,74309.12,0.8452,,113586.8,3185.71,2746.1,4077.43,5000,4567.47,3516.95,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,16005.0,11203.5,Jumpstone™ 27 for loose fills | ø 27 cm. incl mounting bracket for 30 cm depth
JS50,1146.7714762,True,airfreight_weight,0.0,airfreight_weight,79133.93,79133.93,0.7851,,120961.86,3392.56,2924.41,4342.17,5000,4977.39,3832.59,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,17618.0,12332.6,Jumpstone™ 50 for wet pour surfaces | ø 50 cm
JS50 AG,1354.541629,True,airfreight_weight,0.0,airfreight_weight,88681.82,88681.82,0.6936,,135556.5,3801.89,3277.25,4866.08,5000,5788.6,4457.22,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,20810.0,14567.0,Jumpstone™ 50 for artificial grass | ø 50 cm. incl. PETG  mounting ring
JS50 G,1354.541629,True,airfreight_weight,0.0,airfreight_weight,88681.82,88681.82,0.6936,,135556.5,3801.89,3277.25,4866.08,5000,5788.6,4457.22,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,20810.0,14567.0,"Jumpstone™ 50 for grass | ø 50 cm. incl mounting bracket for 21,5 cm depth"
JS50 LF,1354.541629,True,airfreight_weight,0.0,airfreight_weight,88681.82,88681.82,0.6936,,135556.5,3801.89,3277.25,4866.08,5000,5788.6,4457.22,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,20810.0,14567.0,Jumpstone™ 50 for loose fills | ø 50 cm. incl mounting bracket for 30 cm depth
JS3,2251.8196855,True,airfreight_weight,0.0,airfreight_weight,129915.49,129915.49,0.4925,,198585.11,5569.62,4801.05,7128.62,5000,9291.89,7154.75,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,34595.0,24216.5,Jumpstone™ obstacle cource for wet pour surfaces
JS3 AG,2541.3440087,True,airfreight_weight,0.0,airfreight_weight,143220.34,143220.34,0.4579,,218922.52,6140.01,5292.73,7858.67,5000,10422.29,8025.16,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,39043.0,27330.1,Jumpstone™ obstacle cource for artificial grass | incl. PETG  mounting ring
JS3 G,2750.4810704,True,airfreight_weight,0.0,airfreight_weight,154171.35,152831.05,0.45,floored,235661.92,6609.49,5697.42,8459.57,5000,11238.83,8653.9,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,42256.0,29579.2,"Jumpstone™ obstacle cource for grass | incl mounting bracket for 21,5 cm depth"
JS3 LF,2750.4810704,True,airfreight_weight,0.0,airfreight_weight,154171.35,152831.05,0.45,floored,235661.92,6609.49,5697.42,8459.57,5000,11238.83,8653.9,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,42256.0,29579.2,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth
JS5,3356.9329857,True,airfreight_weight,0.0,airfreight_weight,188164.5,180700.05,0.45,floored,287622.88,8066.81,6953.65,10324.81,5000,13606.63,10477.11,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,51573.0,36101.1,Jumpstone™ obstacle cource for wet pour surfaces (5)
JS5 AG,3809.6401951999997,True,airfreight_weight,0.0,airfreight_weight,213539.88,201503.83,0.45,floored,326410.96,9154.68,7891.4,11717.19,5000,15374.16,11838.1,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,58528.0,40969.6,Jumpstone™ obstacle cource for artificial grass | incl. PETG  mounting ring
JS5 G,4084.1285205,True,airfreight_weight,0.0,airfreight_weight,228925.63,214117.71,0.45,floored,349929.18,9814.29,8459.98,12561.42,5000,16445.85,12663.31,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,62745.0,43921.5,"Jumpstone™ obstacle cource for grass | incl mounting bracket for 21,5 cm depth"
JS5 LF,4084.1285205,True,airfreight_weight,0.0,airfreight_weight,228925.63,214117.71,0.45,floored,349929.18,9814.29,8459.98,12561.42,5000,16445.85,12663.31,air 20.0kg,Natural rubber jump pads with a rough surface.,0.3,62745.0,43921.5,Jumpstone™ obstacle cource for loose fills  | incl mounting bracket for 30 cm depth
