item_code,eur_fob,matched,match_strategy,cbm,cbm_method,landed_thb,landed_thb_raw,logistics_pct,logistics_clamp,retail_thb,retail_usd,retail_eur,freight_thb,duty_thb,vat_thb,note
2211,1868.0,True,exact,0.3037,dims_scaled,133530.51,133530.51,0.8467,,222550.85,6766.21,5749.45,15000,17606.0,7394.52,
2212,1880.0,True,exact,0.3037,dims_scaled,134132.88,134132.88,0.8432,,223554.8,6796.73,5775.39,15000,17699.83,7433.93,
2213,2462.0,True,exact,0.54,dims_scaled,163348.31,163348.31,0.7141,,272247.18,8277.13,7033.32,15000,22250.52,9345.22,
2214,2363.0,True,exact,0.6075,dims_scaled,158378.68,158378.68,0.7315,,263964.47,8025.31,6819.34,15000,21476.43,9020.1,
2220,7175.0,True,exact,1.215,dims_scaled,402710.44,399933.11,0.45,floored,671184.07,20406.0,17339.58,15000,59101.73,24822.73,
2221,9772.0,True,exact,1.8984,dims_scaled,548471.97,530298.2,0.45,floored,914119.95,27791.98,23615.67,15000,79407.82,33351.28,
2222,9278.0,True,exact,3.1036,dims_scaled,520745.29,507438.51,0.45,floored,867908.82,26387.02,22421.83,16509.57,75847.12,31855.79,
2223,15462.0,True,exact,3.2687,dims_scaled,818992.73,818992.73,0.3684,,1364987.88,41499.72,35263.53,17387.82,124375.81,52237.84,
2224,22254.0,True,exact,8.3079,dims_scaled,1194358.74,1194358.74,0.3865,,1990597.9,60520.13,51425.74,44193.79,182844.04,76794.5,
2200,2276.0,True,exact,0.3037,dims_scaled,154011.42,154011.42,0.7481,,256685.7,7804.01,6631.3,15000,20796.17,8734.39,
2201,3039.0,True,exact,0.54,dims_scaled,192312.76,192312.76,0.6348,,320521.27,9744.81,8280.45,15000,26762.11,11240.09,
2202,2783.0,True,exact,0.3037,dims_scaled,179461.99,179461.99,0.6659,,299103.32,9093.64,7727.13,15000,24760.43,10399.38,
2203,3566.0,True,exact,0.54,dims_scaled,218767.29,218767.29,0.5849,,364612.15,11085.3,9419.51,15000,30882.76,12970.76,
3201,3476.0,True,exact,0.666,dims_scaled,214249.44,214249.44,0.5923,,357082.4,10856.37,9224.98,15000,30179.04,12675.2,
3202,2842.0,True,exact,0.882,dims_scaled,182423.69,182423.69,0.6583,,304039.48,9243.71,7854.65,15000,25221.76,10593.14,
3203,6027.0,True,exact,1.6058,dims_scaled,342305.4,342305.4,0.4673,,570509.0,17345.18,14738.71,15000,50125.45,21052.69,
3204,6579.0,True,exact,0.0153,dims_scaled,370014.89,370014.89,0.453,,616691.48,18749.27,15931.8,15000,54441.57,22865.46,
3227,12058.0,True,exact,2.7084,dims_scaled,645051.61,645051.61,0.382,,1075086.02,32685.83,27774.12,15000,97282.18,40858.52,
3230,33165.0,True,exact,9.3032,dims_scaled,1748870.97,1748870.97,0.3623,,2914784.95,88618.18,75301.49,49488.28,269216.66,113071.0,
3231,46686.0,True,exact,12.7079,dims_scaled,2450857.63,2450857.63,0.3562,,4084762.72,124189.01,105527.06,67599.55,378560.38,158995.36,
3240,67841.0,True,exact,22.788,dims_scaled,3581652.9,3581652.9,0.3639,,5969421.5,181488.27,154215.94,121220.54,554696.71,232972.62,
3241,101231.0,True,exact,0.4472,dims_scaled,5289934.22,5121388.37,0.35,floored,8816557.03,268049.71,227769.75,15000,794530.9,333702.98,
3245,115585.0,True,exact,0.003,dims_scaled,6040017.85,5841935.37,0.35,floored,10066696.42,306057.69,260066.25,15000,906765.63,380841.57,
3260,181310.0,False,flat_uplift,0.0,flat_uplift,9474548.05,9474548.05,0.35,floored,15790913.42,480091.01,407947.5,0.0,0.0,0.0,
3230S2,26077.0,False,flat_uplift,0.0,flat_uplift,1362681.54,1362681.54,0.35,,2271135.9,69049.33,58673.25,0.0,0.0,0.0,
3231S2,38726.0,False,flat_uplift,0.0,flat_uplift,2023668.57,2023668.57,0.35,,3372780.95,102542.63,87133.5,0.0,0.0,0.0,
3240S2,56420.0,False,flat_uplift,0.0,flat_uplift,2948287.47,2948287.47,0.35,,4913812.45,149394.6,126945.0,0.0,0.0,0.0,
3241S2,85873.0,False,flat_uplift,0.0,flat_uplift,4487385.5,4487385.5,0.35,,7478975.83,227383.24,193214.25,0.0,0.0,0.0,
3245S2,100228.0,False,flat_uplift,0.0,flat_uplift,5237521.38,5237521.38,0.35,floored,8729202.3,265393.86,225513.0,0.0,0.0,0.0,
3260S2,161839.0,False,flat_uplift,0.0,flat_uplift,8457070.11,8457070.11,0.35,floored,14095116.85,428533.72,364137.75,0.0,0.0,0.0,
3401,3476.0,True,exact,0.666,dims_scaled,214249.44,214249.44,0.5923,,357082.4,10856.37,9224.98,15000,30179.04,12675.2,
3402,2842.0,True,exact,0.882,dims_scaled,182423.69,182423.69,0.6583,,304039.48,9243.71,7854.65,15000,25221.76,10593.14,
3403,6027.0,True,exact,1.6058,dims_scaled,342305.4,342305.4,0.4673,,570509.0,17345.18,14738.71,15000,50125.45,21052.69,
3404,6579.0,True,exact,0.0153,dims_scaled,370014.89,370014.89,0.453,,616691.48,18749.27,15931.8,15000,54441.57,22865.46,
3427,12058.0,True,exact,2.7084,dims_scaled,645051.61,645051.61,0.382,,1075086.02,32685.83,27774.12,15000,97282.18,40858.52,
3430,33165.0,True,exact,9.3032,dims_scaled,1748870.97,1748870.97,0.3623,,2914784.95,88618.18,75301.49,49488.28,269216.66,113071.0,
3431,46686.0,True,exact,12.7079,dims_scaled,2450857.63,2450857.63,0.3562,,4084762.72,124189.01,105527.06,67599.55,378560.38,158995.36,
3440,67841.0,True,exact,22.788,dims_scaled,3581652.9,3581652.9,0.3639,,5969421.5,181488.27,154215.94,121220.54,554696.71,232972.62,
3441,101231.0,True,exact,0.4472,dims_scaled,5289934.22,5121388.37,0.35,floored,8816557.03,268049.71,227769.75,15000,794530.9,333702.98,
3445,115585.0,True,exact,0.003,dims_scaled,6040017.85,5841935.37,0.35,floored,10066696.42,306057.69,260066.25,15000,906765.63,380841.57,
3460,181310.0,False,flat_uplift,0.0,flat_uplift,9474548.05,9474548.05,0.35,floored,15790913.42,480091.01,407947.5,0.0,0.0,0.0,
3430S2,26077.0,False,flat_uplift,0.0,flat_uplift,1362681.54,1362681.54,0.35,,2271135.9,69049.33,58673.25,0.0,0.0,0.0,
