sku,sku_token,name,fob_usd,unit,pack_qty,carton_cbm,per_unit_cbm,freight_thb,duty_thb,import_vat_thb,landed_thb,retail_thb,retail_usd,retail_sgd,method
EM5501,EM5501,EDUSANTE ES TRIKE (L),90.09,PC,1.0,0.11,0.11,605.0,363.07,279.56,4273.35,9144.96,257.02,328.17,cbm_lcl
EM5502,EM5502,EDUSANTE ES TRIKE (M),83.88,PC,1.0,0.08,0.08,440.0,325.71,250.8,3833.66,8204.03,230.58,294.4,cbm_lcl
EM5504,EM5504,EDUSANTE ES TAXI,114.95,PC,1.0,0.16,0.16,880.0,474.06,365.03,5579.74,11940.64,335.59,428.49,cbm_lcl
EM5513,EM5513,EDUSANTE ES WALKING BIKE,75.05,PC,1.0,0.09,0.09,495.0,301.56,232.2,3549.35,7595.6,213.48,272.57,cbm_lcl
EM5530,EM5530,EDUSANTE MAGNETIC NUMBER,9.08,SET,24.0,0.01,0.000417,2.29,30.72,23.66,361.63,773.89,21.75,27.77,cbm_lcl
EM5531,EM5531,EDUSANTE MAGNETIC ROLE PLAY,9.08,SET,24.0,0.01,0.000417,2.29,30.72,23.66,361.63,773.89,21.75,27.77,cbm_lcl
KB0304,KB0304,HALF MASSAGE UFO,21.61,PC,12.0,0.03,0.0025,13.75,73.95,56.94,870.43,1862.72,52.35,66.84,cbm_lcl
KB0306,KB0306,MASSAGE BALL,32.11,PC,5.0,0.03,0.006,33.0,111.14,85.58,1308.15,2799.44,78.68,100.46,cbm_lcl
KB1300,KB1300,SCHOOL SET,146.18,SET,4.0,0.18,0.045,247.5,515.7,397.09,6069.81,12989.39,365.07,466.13,cbm_lcl
KB1301,KB1301,JUMPING BALL (BLUE),11.82,PC,15.0,0.03,0.002,11.0,40.8,31.41,480.19,1027.61,28.88,36.88,cbm_lcl
KB1302,KB1302,JUMPING BALL (ORANGE),9.89,PC,25.0,0.04,0.0016,8.8,34.1,26.25,401.31,858.8,24.14,30.82,cbm_lcl
KB1303,KB1303,GYM BALL,22.64,PC,10.0,0.04,0.004,22.0,78.24,60.24,920.85,1970.63,55.38,70.72,cbm_lcl
KB1307,KB1307,GYM ROLL (S),23.33,PC,12.0,0.05,0.004167,22.92,80.65,62.1,949.21,2031.31,57.09,72.89,cbm_lcl
KB1309,KB1309,ANTI-BURST BALL,19.67,PC,10.0,0.03,0.003,16.5,67.71,52.14,796.98,1705.53,47.93,61.2,cbm_lcl
KB2301,KB2301,TO AND FRO BALL,7.52,PC,50.0,0.06,0.0012,6.6,25.92,19.96,305.03,652.77,18.35,23.42,cbm_lcl
KB3301,KB3301,BABY AND TODDLER SET,125.95,SET,2.0,0.08,0.04,220.0,445.01,342.66,5237.75,11208.78,315.03,402.23,cbm_lcl
KC0002.1,KC0002,BRICK ME (45 PCS),99.0,SET,1.0,0.09,0.09,495.0,382.0,294.14,4496.09,9621.63,270.42,345.27,cbm_lcl
KC0004,KC0004,WEPLAY Q-BLOCKS (64 PCS),219.47,SET,1.0,0.06,0.06,330.0,770.1,592.98,9064.07,19397.11,545.16,696.07,cbm_lcl
KC0005,KC0005,ICY ICE BUILDING SET,80.85,SET,4.0,0.11,0.0275,151.25,286.66,220.73,3374.03,7220.42,202.93,259.1,cbm_lcl
KC0006,KC0006,WEPLAY CONSTRUCTION TILES,49.5,SET,6.0,0.03,0.005,27.5,169.0,130.13,1989.1,4256.68,119.63,152.75,cbm_lcl
KC2001,KC2001,PATTERN CUBES,29.7,SET,12.0,0.04,0.003333,18.33,101.58,78.22,1195.62,2558.63,71.91,91.82,cbm_lcl
KC2002,KC2002,RAINBOW CRYSTAL,29.04,SET,12.0,0.04,0.003333,18.33,99.37,76.51,1169.53,2502.8,70.34,89.81,cbm_lcl
KC2003,KC2003,FUN WITH CURVES,37.92,SET,12.0,0.04,0.003333,18.33,129.19,99.48,1520.56,3253.99,91.45,116.77,cbm_lcl
KC2004,KC2004,OCEAN,37.92,SET,12.0,0.04,0.003333,18.33,129.19,99.48,1520.56,3253.99,91.45,116.77,cbm_lcl
KC2005,KC2005,FOREST,37.92,SET,12.0,0.04,0.003333,18.33,129.19,99.48,1520.56,3253.99,91.45,116.77,cbm_lcl
KC2008,KC2008,WEPLAY BEANSTALK,39.06,SET,12.0,0.04,0.003333,18.33,133.02,102.42,1565.62,3350.43,94.16,120.23,cbm_lcl
KC2009,KC2009,WEPLAY PUZZLE FUN,57.86,SET,12.0,0.04,0.003333,18.33,196.16,151.04,2308.79,4940.8,138.86,177.3,cbm_lcl
KC2010,KC2010,WEPLAY CRYSTAL SPECTRUM,26.01,SET,12.0,0.07,0.005833,32.08,90.56,69.73,1065.94,2281.11,64.11,81.86,cbm_lcl
KC2801,KC2801,SOFTWOOD BLOCKS (8 CM) (56,197.47,SET,1.0,0.07,0.07,385.0,701.71,540.32,8259.14,17674.57,496.75,634.25,cbm_lcl
KC2802,KC2802,SOFTWOOD BLOCKS (4 CM) (152,170.05,SET,1.0,0.06,0.06,330.0,604.12,465.17,7110.49,15216.46,427.66,546.04,cbm_lcl
KC2803,KC2803,LINKITS,75.35,SET,4.0,0.1,0.025,137.5,266.82,205.45,3140.43,6720.51,188.88,241.17,cbm_lcl
KC2805,KC2805,NEST AND STACK,87.53,SET,1.0,0.04,0.04,220.0,315.97,243.3,3719.01,7958.67,223.68,285.6,cbm_lcl
KC3001,KC3001,WEPLAY LEARNING CUBE,28.85,SET,8.0,0.07,0.00875,48.13,101.71,78.31,1197.09,2561.76,72.0,91.93,cbm_lcl
KC3002,KC3002,WEPLAY WE-BLOCKS MINI (56 PCS),81.95,SET,1.0,0.04,0.04,220.0,297.23,228.87,3498.43,7486.64,210.41,268.66,cbm_lcl
KC3004,KC3004,WEPLAY STEPPING SHAPE,21.41,SET,6.0,0.05,0.008333,45.83,76.49,58.9,900.28,1926.61,54.15,69.14,cbm_lcl
KE0011-00B,KE0011,WEPLAY ROCKING VOLCANO,20.69,PC,1.0,0.05,0.05,275.0,96.99,74.68,1141.55,2442.92,68.66,87.66,cbm_lcl
KE0311-00K,KE0311,MODERN BALL CHAIR (L) (BLACK),78.13,SET,1.0,0.07,0.07,385.0,300.9,231.7,3541.63,7579.08,213.01,271.98,cbm_lcl
KE0312,KE0312,MODERN BALL CHAIR (S),58.23,SET,1.0,0.03,0.03,165.0,212.07,163.29,2496.04,5341.53,150.12,191.68,cbm_lcl
KF0002.1,KF0002,INFINITE LOOP (S),6.65,PC,24.0,0.11,0.004583,25.21,24.86,19.14,292.55,626.05,17.6,22.47,cbm_lcl
KF0004.1,KF0004,FOREVER UP-DOWN (S),12.99,PC,12.0,0.12,0.01,55.0,49.13,37.83,578.23,1237.41,34.78,44.4,cbm_lcl
KF0005,KF0005,WEPLAY TRICKY FISH (GREEN),13.42,PC,12.0,0.03,0.0025,13.75,46.45,35.76,546.68,1169.89,32.88,41.98,cbm_lcl
KF0006,KF0006,WEPLAY TRICKY FISH (BLUE),13.42,PC,12.0,0.03,0.0025,13.75,46.45,35.76,546.68,1169.89,32.88,41.98,cbm_lcl
KF0007,KF0007,WEPLAY JUMBO CIRCUS,49.84,SET,12.0,0.05,0.004167,22.92,169.68,130.65,1997.15,4273.9,120.12,153.37,cbm_lcl
KF0008,KF0008,"WEPLAY ROCK ""N"" FISH",27.5,SET,8.0,0.06,0.0075,41.25,96.48,74.29,1135.63,2430.24,68.3,87.21,cbm_lcl
KF0009,KF0009,WEPLAY ROLLING 4 FUN,19.58,SET,12.0,0.06,0.005,27.5,68.51,52.75,806.37,1725.62,48.5,61.92,cbm_lcl
KF0010,KF0010,WEPLAY COOKIE FESTIVAL,21.22,SET,8.0,0.04,0.005,27.5,74.02,56.99,871.2,1864.36,52.4,66.9,cbm_lcl
KF0012,KF0012,WEPLAY APPLE LINKS,26.93,SET,8.0,0.04,0.005,27.5,93.2,71.76,1096.91,2347.39,65.97,84.24,cbm_lcl
KF0013,KF0013,WEPLAY BEAN PODS,12.33,SET,12.0,0.04,0.003333,18.33,43.24,33.3,508.98,1089.23,30.61,39.09,cbm_lcl
KF0015,KF0015,WEPLAY CRYSTAL CARNIVAL,15.51,SET,12.0,0.07,0.005833,32.08,55.3,42.58,650.87,1392.87,39.15,49.98,cbm_lcl
KF0016,KF0016,WEPLAY CRYSTAL VILLAGE,23.59,SET,8.0,0.04,0.005,27.5,81.98,63.12,964.88,2064.85,58.03,74.1,cbm_lcl
KF0017,KF0017,WEPLAY ELF'S HANGER,18.15,SET,16.0,0.06,0.00375,20.62,63.02,48.53,741.75,1587.34,44.61,56.96,cbm_lcl
KF0018,KF0018,WEPLAY SQUEEZY BEE BLOCKS,21.45,SET,12.0,0.05,0.004167,22.92,74.33,57.24,874.89,1872.27,52.62,67.19,cbm_lcl
KM0001,KM0001,TAI CHI LOOP (BALL),42.9,PC,6.0,0.06,0.01,55.0,149.58,115.18,1760.57,3767.63,105.89,135.2,cbm_lcl
KM0002,KM0002,WEPLAY TRICKY TREE,73.15,SET,2.0,0.09,0.045,247.5,270.43,208.23,3182.93,6811.47,191.44,244.43,cbm_lcl
KM0005,KM0005,WEPLAY TWIGGLE TOSS,24.2,SET,8.0,0.07,0.00875,48.13,86.09,66.29,1013.27,2168.4,60.94,77.81,cbm_lcl
KM1001,KM1001,WEPLAY PLAN YOUR STEP,87.43,SET,3.0,0.22,0.073333,403.33,333.97,257.16,3930.84,8411.99,236.42,301.86,cbm_lcl
KM1002,KM1002,WEPLAY BALANCE HIMALAYAS,127.05,SET,1.0,0.1,0.1,550.0,481.7,370.91,5669.64,12133.04,341.0,435.39,cbm_lcl
KM1003,KM1003,WEPLAY PILE BALANCE UP,79.2,SET,1.0,0.07,0.07,385.0,304.5,234.46,3583.92,7669.6,215.56,275.22,cbm_lcl
KM2000.1,KM2000,MOTOR SKILL UNIVERSAL SET,313.5,SET,1.0,0.11,0.11,605.0,1113.4,857.32,13104.76,28044.18,788.19,1006.37,cbm_lcl
KM2001.1,KM2001,HALF BRICK AND BRICK,87.83,SET,2.0,0.08,0.04,220.0,316.98,244.08,3730.86,7984.05,224.39,286.51,cbm_lcl
KM2002.1,KM2002,BALANCE BEAM,50.93,SET,4.0,0.1,0.025,137.5,184.8,142.3,2175.1,4654.72,130.82,167.03,cbm_lcl
KM2003.1,KM2003,HOOP,32.39,SET,10.0,0.1,0.01,55.0,114.28,88.0,1345.11,2878.54,80.9,103.3,cbm_lcl
KM2004.1,KM2004,POLE,10.56,SET,12.0,0.05,0.004167,22.92,37.76,29.07,444.41,951.04,26.73,34.13,cbm_lcl
KM2005.1,KM2005,CLIP A,4.51,PAC,20.0,0.04,0.002,11.0,16.25,12.51,191.23,409.23,11.5,14.69,cbm_lcl
KM2006.1,KM2006,CLIP B,4.51,PAC,20.0,0.04,0.002,11.0,16.25,12.51,191.23,409.23,11.5,14.69,cbm_lcl
KM2007.1,KM2007,BEAN BAG,24.64,SET,10.0,0.04,0.004,22.0,84.95,65.41,999.91,2139.82,60.14,76.79,cbm_lcl
KM2008.1,KM2008,FOOTPRINT AND HANDPRINT,37.95,SET,10.0,0.05,0.005,27.5,130.21,100.26,1532.53,3279.62,92.17,117.69,cbm_lcl
KM2012,KM2012,WATER-LILY (12 PCS),520.3,SET,0.5,0.13,0.26,1430.0,1890.45,1455.65,22250.59,47616.27,1338.26,1708.71,cbm_lcl
