code,page,distance,xref,image_w,image_h,target_filename,decode_status,written
BS-78,66,155.0,1012,158,133,BS-78_furniture_2025_p066_0fdaa520.jpg,written,True
BS-78,92,94.53,1579,224,75,BS-78_furniture_2025_p092_6a8611b4.jpg,written,True
BS-78,240,71.99,4250,136,91,BS-78_furniture_2025_p240_004d72ae.jpg,written,True
BS-78,254,51.68,4491,100,63,BS-78_furniture_2025_p254_c638638e.jpg,written,True
CBL-78,45,131.17,635,98,108,CBL-78_furniture_2025_p045_ccaa5cb9.jpg,written,True
CBL-78,45,159.62,631,149,112,CBL-78_furniture_2025_p045_812d6b4d.jpg,written,True
CBL-78,45,147.39,614,208,93,CBL-78_furniture_2025_p045_df8a0366.jpg,written,True
CBL-78,45,108.6,636,152,96,CBL-78_furniture_2025_p045_a38fe7c5.jpg,written,True
CBL-78,49,83.2,701,144,101,CBL-78_furniture_2025_p049_2544c6ad.jpg,written,True
CBL-78,49,83.61,704,118,99,CBL-78_furniture_2025_p049_ef8971cd.jpg,written,True
CD8-3JG,112,94.37,1984,138,128,CD8-3JG_furniture_2025_p112_7adc778b.jpg,written,True
CD8-3JG,112,102.47,1992,146,134,CD8-3JG_furniture_2025_p112_f3197c3b.jpg,written,True
CD8-3JG,112,97.46,1985,132,130,CD8-3JG_furniture_2025_p112_d2e621aa.jpg,written,True
CF2-3MGF,144,117.75,2518,157,23,CF2-3MGF_furniture_2025_p144_145e5719.jpg,written,True
CF2-3MGF,144,165.2,2528,229,128,CF2-3MGF_furniture_2025_p144_71a816e2.jpg,written,True
CF2-3MGF,144,138.32,2537,115,35,CF2-3MGF_furniture_2025_p144_f9699611.jpg,written,True
CF2-3MGF,144,127.57,2527,219,152,CF2-3MGF_furniture_2025_p144_8106775b.jpg,written,True
CF2-3MGF,148,119.81,2608,144,128,CF2-3MGF_furniture_2025_p148_bb63ea00.jpg,written,True
CF3-3MGF,144,160.05,2518,157,23,CF3-3MGF_furniture_2025_p144_145e5719.jpg,written,True
CF3-3MGF,144,190.28,2528,229,128,CF3-3MGF_furniture_2025_p144_71a816e2.jpg,written,True
CF3-3MGF,148,128.13,2605,145,97,CF3-3MGF_furniture_2025_p148_3c695341.jpg,written,True
CF4-3MGF,148,144.35,2613,218,150,CF4-3MGF_furniture_2025_p148_dc963f90.jpg,written,True
CF5-3JG,185,88.15,3302,101,42,CF5-3JG_furniture_2025_p185_19e605c8.jpg,written,True
CF5-3MGF,144,183.82,2528,229,128,CF5-3MGF_furniture_2025_p144_71a816e2.jpg,written,True
CF5-3MGF,144,130.4,2529,183,158,CF5-3MGF_furniture_2025_p144_7b29859e.jpg,written,True
CF5-3MGF,144,137.82,2527,219,152,CF5-3MGF_furniture_2025_p144_8106775b.jpg,written,True
CF5-3MGF,148,126.15,2601,104,69,CF5-3MGF_furniture_2025_p148_a65ddec6.jpg,written,True
CG4-3MGF,144,150.06,2518,157,23,CG4-3MGF_furniture_2025_p144_145e5719.jpg,written,True
CG4-3MGF,144,187.15,2528,229,128,CG4-3MGF_furniture_2025_p144_71a816e2.jpg,written,True
